vino,bodega,precio,fecha
Lindaflor La Violeta Malbec,Monteviejo,5200,2019-10-01
Mariflor Camille,Rolland Wine Collection,7448,2019-10-01
Mariflor Arthur & Theo,Rolland Wine Collection,7448,2019-10-01
Mariflor Raphael,Rolland Wine Collection,7448,2019-10-01
Marcelo Pelleriti Grand Cuvee,Marcelo Pelleriti Wines,2680,2019-10-01
"Cobos Volturno, Marchiori Vineyard 2016",Cobos (Hobbs – Marchiori – Barraud),12240,2019-10-01
"Cobos Malbec, Marchiori Vineyard 2015",Cobos (Hobbs – Marchiori – Barraud),11600,2019-10-01
Mosquita Muerta Blend de Tintas,Mosquita Muerta Wines,897,2019-10-01
Sapo de Otro Pozo Blend,Mosquita Muerta Wines,686,2019-10-01
Pispi Blend,Mosquita Muerta Wines,601,2019-10-01
Mendel Malbec Finca Remota,Mendel Wines,2700,2019-10-01
Gauchezco Gran Corte Blend,Gauchezco Wines,1540,2019-10-01
Nico by Luca,Laura Catena Wines – Bodega Luca,3572,2019-10-01
Pachamama Malbec,Matervini,1575,2019-10-01
Traslapiedra Malbec x 1000 ml.,Traslapiedra,480,2019-10-01
Estancia Uspallata Malbec,Estancia Uspallata,1600,2019-10-01
Estancia Uspallata Pinot Noir,Estancia Uspallata,1400,2019-10-01
Estancia Uspallata Espumante Brut Nature,Estancia Uspallata,800,2019-10-01
Padma Garnacha Rose,Corazón del Sol,900,2019-10-01
Per Se La Craie 2016,Per Se – Bonomi & Del Popolo,9270,2019-10-01
Per Se  Jubileus 2016,Per Se – Bonomi & Del Popolo,9270,2019-10-01
Volare del Camino Malbec 2016,Per Se – Bonomi & Del Popolo,3690,2019-10-01
Lagarde Malbec x 375 ml.,Lagarde,234,2019-10-01
Zuccardi Piedra Infinita Malbec 2015,Familia Zuccardi,4680,2019-10-01
Zuccardi Aluvional Altamira,Familia Zuccardi,3048,2019-10-01
Zuccardi Aluvional Gualtallary,Familia Zuccardi,3048,2019-10-01
Zuccardi Aluvional Los Chacayes,Familia Zuccardi,3048,2019-10-01
Santa Julia Espumante Classic Cuvee x 187,Familia Zuccardi,132,2019-10-01
Las Perdices Malbec x 375 ml.,Viña Las Perdices,164,2019-10-01
Nicola Catena Bonarda,Catena Zapata,1695,2019-10-01
D.V. Catena Adrianna Malbec Gualtallary,Catena Zapata,1425,2019-10-01
D.V. Catena Nicasia Malbec Altamira,Catena Zapata,1350,2019-10-01
D.V. Catena La Piramide Cabernet Sauvignon Agrelo,Catena Zapata,1350,2019-10-01
D.V. Catena Espumante Nature,Catena Zapata,1125,2019-10-01
Angelica Zapata Malbec,Catena Zapata,1200,2019-10-01
Angelica Zapata Cabernet Franc,Catena Zapata,907,2019-10-01
Angelica Zapata Cabernet Sauvignon,Catena Zapata,825,2019-10-01
Angelica Zapata Merlot,Catena Zapata,825,2019-10-01
Angelica Zapata Chardonnay,Catena Zapata,742,2019-10-01
D.V. Catena Cabernet - Cabernet,Catena Zapata,937,2019-10-01
D.V. Catena Malbec - Malbec,Catena Zapata,750,2019-10-01
D.V. Catena Pinot Noir - Pinot Noir,Catena Zapata,712,2019-10-01
D.V. Catena Syrah - Syrah,Catena Zapata,660,2019-10-01
D.V. Catena Cabernet - Malbec,Catena Zapata,555,2019-10-01
