vino,bodega,precio,fecha
Altocedro Desnudos 2010,Karim Mussi Winemaker,3102,2018-10-01
Mariflor Camille,Rolland Wine Collection,4960,2018-10-01
Mariflor Arthur & Theo,Rolland Wine Collection,4960,2018-10-01
Mariflor Raphael,Rolland Wine Collection,4960,2018-10-01
EL Cuvelier Los Andes,Cuvelier Los Andes,3167,2018-10-01
Pala Corazon Malbec Gualtallary,Pala Corazón (Lucas Niven),247,2018-10-01
Pala Corazon Malbec Paraje Altamira,Pala Corazón (Lucas Niven),247,2018-10-01
"Pala Corazon Tinto - cabernet, malbec, barbera -",Pala Corazón (Lucas Niven),247,2018-10-01
Pala Corazon Cabernet Franc,Pala Corazón (Lucas Niven),247,2018-10-01
Pala Corazon Bonarda,Pala Corazón (Lucas Niven),247,2018-10-01
Pala Corazon Blanco,Pala Corazón (Lucas Niven),217,2018-10-01
"Cobos Malbec, Chañares Vineyard 2014",Cobos (Hobbs – Marchiori – Barraud),7480,2018-10-01
"Cobos Volturno, Marchiori Vineyard 2013",Cobos (Hobbs – Marchiori – Barraud),7480,2018-10-01
"Cobos Malbec, Marchiori Vineyard 2014",Cobos (Hobbs – Marchiori – Barraud),6120,2018-10-01
Mosquita Muerta Blend de Tintas,Mosquita Muerta Wines,514,2018-10-01
Mosquita Muerta Blend de Blancas,Mosquita Muerta Wines,259,2018-10-01
Sapo de Otro Pozo Blend,Mosquita Muerta Wines,455,2018-10-01
Pispi Blend,Mosquita Muerta Wines,339,2018-10-01
Tikal Jubilo,Ernesto Catena,508,2018-10-01
Tikal Amorio,Ernesto Catena,445,2018-10-01
Tikal Patriota,Ernesto Catena,431,2018-10-01
Tikal Natural Bio,Ernesto Catena,423,2018-10-01
Gauchezco Gran Corte Blend,Gauchezco Wines,1260,2018-10-01
Nico by Luca,Laura Catena Wines,2167,2018-10-01
Pachamama Malbec 2014,Matervini,900,2018-10-01
Zuccardi Finca Canal Uco Malbec 2015,Familia Zuccardi,1813,2018-10-01
Zuccardi Piedra Infinita Malbec 2014,Familia Zuccardi,1813,2018-10-01
Las Perdices Malbec x 375 ml.,Viña Las Perdices,129,2018-10-01
D.V. Catena Adrianna Malbec Gualtallary,Catena Zapata,1050,2018-10-01
D.V. Catena Nicasia Malbec Altamira,Catena Zapata,975,2018-10-01
D.V. Catena La Piramide Cabernet Sauvignon Agrelo,Catena Zapata,975,2018-10-01
D.V. Catena Espumante Nature,Catena Zapata,922,2018-10-01
Nicola Catena Bonarda,Catena Zapata,1113,2018-10-01
Angelica Zapata Cabernet Franc Vineyard Designated,Catena Zapata,1785,2018-10-01
Angelica Zapata Malbec,Catena Zapata,892,2018-10-01
Angelica Zapata Cabernet Franc,Catena Zapata,660,2018-10-01
Angelica Zapata Cabernet Sauvignon,Catena Zapata,585,2018-10-01
Angelica Zapata Merlot,Catena Zapata,585,2018-10-01
Angelica Zapata Chardonnay,Catena Zapata,570,2018-10-01
D.V. Catena Cabernet - Cabernet,Catena Zapata,750,2018-10-01
