vino,bodega,precio,fecha
Mariflor Camille,Rolland Wine Collection,8192,2020-05-01
Mariflor Arthur & Theo,Rolland Wine Collection,8192,2020-05-01
Mariflor Raphael,Rolland Wine Collection,8192,2020-05-01
Marcelo Pelleriti Grand Cuvee,Marcelo Pelleriti Wines,3120,2020-05-01
Cobos Volturno 2017,Cobos (Hobbs – Marchiori – Barraud),16896,2020-05-01
Cobos Malbec Marchiori Estate 2016,Cobos (Hobbs – Marchiori – Barraud),16896,2020-05-01
Marchiori & Barraud Corte,Marchiori & Barraud,2700,2020-05-01
Alto Las Hormigas Malbec x 375 ml.,Alto las Hormigas (Alberto Antonini),247,2020-05-01
Mosquita Muerta Blend de Tintas,Mosquita Muerta Wines,897,2020-05-01
Sapo de Otro Pozo Blend,Mosquita Muerta Wines,686,2020-05-01
Pispi Blend,Mosquita Muerta Wines,601,2020-05-01
Mendel Malbec Finca Remota,Mendel Wines,3300,2020-05-01
Gauchezco Gran Corte Blend,Gauchezco Wines,1680,2020-05-01
Nico by Luca,Laura Catena Wines – Bodega Luca,4360,2020-05-01
Preciado 2005,Alfredo Roca,2902,2020-05-01
Preciado 2009,Alfredo Roca,2460,2020-05-01
Preciado 2012,Alfredo Roca,1987,2020-05-01
Traslapiedra Malbec x 1000 ml.,Traslapiedra,736,2020-05-01
Estancia Uspallata Malbec,Estancia Uspallata,1600,2020-05-01
Estancia Uspallata Pinot Noir,Estancia Uspallata,1400,2020-05-01
Estancia Uspallata Espumante Brut Nature,Estancia Uspallata,800,2020-05-01
Padma Garnacha Rose,Corazón del Sol,900,2020-05-01
A Merced del Tiempo Malbec - Cabernet Sauvignon,Michelini i Mufatto,2760,2020-05-01
Lagarde Malbec x 375 ml.,Lagarde,281,2020-05-01
Zuccardi Aluvional Altamira,Familia Zuccardi,3276,2020-05-01
Zuccardi Aluvional Gualtallary,Familia Zuccardi,3276,2020-05-01
Zuccardi Aluvional Los Chacayes,Familia Zuccardi,3276,2020-05-01
Santa Julia Espumante Classic Cuvee x 187,Familia Zuccardi,148,2020-05-01
Las Perdices Malbec x 375 ml.,Viña Las Perdices,182,2020-05-01
D.V. Catena Adrianna Malbec Gualtallary,Catena Zapata,1567,2020-05-01
D.V. Catena Domingo Vineyard Pinot Noir Tupungato,Catena Zapata,1567,2020-05-01
D.V. Catena Nicasia Malbec Altamira,Catena Zapata,1485,2020-05-01
D.V. Catena La Piramide Cabernet Sauvignon Agrelo,Catena Zapata,1485,2020-05-01
D.V. Catena Espumante Nature,Catena Zapata,1350,2020-05-01
