vino,bodega,precio,fecha
Lindaflor La Violeta Malbec,Monteviejo,4800,2019-08-01
Mariflor Camille,Rolland Wine Collection,6100,2019-08-01
Mariflor Arthur & Theo,Rolland Wine Collection,6100,2019-08-01
Mariflor Raphael,Rolland Wine Collection,6100,2019-08-01
Marcelo Pelleriti Grand Cuvee,Marcelo Pelleriti Wines,2480,2019-08-01
"Cobos Malbec, Chañares Vineyard 2014",Cobos (Hobbs – Marchiori – Barraud),13800,2019-08-01
"Cobos Malbec, Chañares Vineyard 2015",Cobos (Hobbs – Marchiori – Barraud),12800,2019-08-01
"Cobos Volturno, Marchiori Vineyard 2013",Cobos (Hobbs – Marchiori – Barraud),14688,2019-08-01
"Cobos Volturno, Marchiori Vineyard 2016",Cobos (Hobbs – Marchiori – Barraud),12240,2019-08-01
"Cobos Malbec, Marchiori Vineyard 2014",Cobos (Hobbs – Marchiori – Barraud),13340,2019-08-01
"Cobos Malbec, Marchiori Vineyard 2015",Cobos (Hobbs – Marchiori – Barraud),11600,2019-08-01
Mosquita Muerta Blend de Tintas,Mosquita Muerta Wines,763,2019-08-01
Sapo de Otro Pozo Blend,Mosquita Muerta Wines,583,2019-08-01
Pispi Blend,Mosquita Muerta Wines,511,2019-08-01
Mendel Malbec Finca Remota,Mendel Wines,2700,2019-08-01
Gauchezco Gran Corte Blend,Gauchezco Wines,1260,2019-08-01
Nico by Luca,Laura Catena Wines,3248,2019-08-01
Pachamama Malbec,Matervini,1575,2019-08-01
Traslapiedra Malbec x 1000 ml.,Traslapiedra,480,2019-08-01
Estancia Uspallata Malbec,Estancia Uspallata,1360,2019-08-01
Estancia Uspallata Pinot Noir,Estancia Uspallata,1200,2019-08-01
Estancia Uspallata Espumante Brut Nature,Estancia Uspallata,784,2019-08-01
Padma Garnacha Rose,Corazón del Sol,712,2019-08-01
Lagarde Malbec x 375 ml.,Lagarde,214,2019-08-01
Zuccardi Piedra Infinita Malbec 2015,Familia Zuccardi,3600,2019-08-01
Zuccardi Aluvional Altamira,Familia Zuccardi,2345,2019-08-01
Zuccardi Aluvional Gualtallary,Familia Zuccardi,2345,2019-08-01
Zuccardi Aluvional Los Chacayes,Familia Zuccardi,2345,2019-08-01
