vino,bodega,precio,fecha
Lindaflor La Violeta Malbec 2011,Monteviejo,5,2019-11-01
Mariflor Camille,Rolland Wine Collection,8,2019-11-01
Mariflor Arthur & Theo,Rolland Wine Collection,8,2019-11-01
Mariflor Raphael,Rolland Wine Collection,8,2019-11-01
Marcelo Pelleriti Grand Cuvee,Marcelo Pelleriti Wines,2,2019-11-01
Cobos Marchiori Volturno 2016,Cobos (Hobbs – Marchiori – Barraud),14,2019-11-01
Cobos Marchiori Malbec 2015,Cobos (Hobbs – Marchiori – Barraud),14,2019-11-01
Cobos Marchiori Malbec 2016,Cobos (Hobbs – Marchiori – Barraud),13,2019-11-01
Marchiori & Barraud Corte,Marchiori & Barraud,2,2019-11-01
Mosquita Muerta Blend de Tintas,Mosquita Muerta Wines,897,2019-11-01
Sapo de Otro Pozo Blend,Mosquita Muerta Wines,686,2019-11-01
Pispi Blend,Mosquita Muerta Wines,601,2019-11-01
Mendel Malbec Finca Remota,Mendel Wines,2,2019-11-01
Gauchezco Gran Corte Blend,Gauchezco Wines,1,2019-11-01
Nico by Luca,Laura Catena Wines – Bodega Luca,3,2019-11-01
Pachamama Malbec,Matervini,1,2019-11-01
Traslapiedra Malbec x 1000 ml.,Traslapiedra,480,2019-11-01
Estancia Uspallata Malbec,Estancia Uspallata,1,2019-11-01
Estancia Uspallata Pinot Noir,Estancia Uspallata,1,2019-11-01
Estancia Uspallata Espumante Brut Nature,Estancia Uspallata,800,2019-11-01
Padma Garnacha Rose,Corazón del Sol,900,2019-11-01
Per Se La Craie 2016,Per Se – Bonomi & Del Popolo,9,2019-11-01
Per Se  Jubileus 2016,Per Se – Bonomi & Del Popolo,9,2019-11-01
Volare del Camino Malbec 2016,Per Se – Bonomi & Del Popolo,3,2019-11-01
