vino,bodega,precio,fecha
Mariflor Camille,Rolland Wine Collection,16988,2022-05-01
Mariflor Arthur & Theo,Rolland Wine Collection,16988,2022-05-01
Mariflor Raphael,Rolland Wine Collection,16988,2022-05-01
Mariflor Giulia,Rolland Wine Collection,16988,2022-05-01
EL CLA 2015,Cuvelier Los Andes,13901,2022-05-01
Marcelo Pelleriti Grand Cuvee,Marcelo Pelleriti Wines,7575,2022-05-01
Cobos Malbec Marchiori 2016,Cobos (Hobbs – Marchiori – Barraud),86400,2022-05-01
Cobos Malbec Marchiori 2018,Cobos (Hobbs – Marchiori – Barraud),72000,2022-05-01
Cobos Volturno 2018,Cobos (Hobbs – Marchiori – Barraud),72000,2022-05-01
Viña Cobos Marchiori Estate Malbec,Cobos (Hobbs – Marchiori – Barraud),17100,2022-05-01
Viña Cobos Marchiori Estate Cabernet Sauvignon,Cobos (Hobbs – Marchiori – Barraud),17100,2022-05-01
Viña Cobos Chañares Estate Malbec,Cobos (Hobbs – Marchiori – Barraud),17100,2022-05-01
Viña Cobos Chañares Estate Cabernet Franc,Cobos (Hobbs – Marchiori – Barraud),17100,2022-05-01
Viña Cobos Zingaretti Estate Malbec,Cobos (Hobbs – Marchiori – Barraud),17100,2022-05-01
Bramare Chañares Vineyard Designated Malbec 2017,Viña Cobos - Cosechas Anteriores,17100,2022-05-01
Bramare Touza Vineyard Designated Malbec 2017,Viña Cobos - Cosechas Anteriores,17100,2022-05-01
Bramare Zingaretti Vineyard Designated Malbec 2017,Viña Cobos - Cosechas Anteriores,17100,2022-05-01
Mosquita Muerta Black Blend de Cabernet,Mosquita Muerta Wines,5530,2022-05-01
Mosquita Muerta Blend de Tintas,Mosquita Muerta Wines,2373,2022-05-01
Mosquita Muerta Blend de Blancas,Mosquita Muerta Wines,2373,2022-05-01
Sapo de Otro Pozo Blend,Mosquita Muerta Wines,1764,2022-05-01
Pispi Blend,Mosquita Muerta Wines,1435,2022-05-01
Susana Balbo Signature Malbec Paraje Altamira,Susana Balbo Wines,8085,2022-05-01
"Benmarco ""Sin Limites"" Malbec Gualtallary",Susana Balbo Wines,2355,2022-05-01
"Benmarco ""Sin Limites"" Malbec El Pedernal",Susana Balbo Wines,2355,2022-05-01
"Benmarco ""Sin Limites"" Malbec Organico Valle de Uco",Susana Balbo Wines,2355,2022-05-01
"Benmarco ""Sin Limites"" Chardonnay",Susana Balbo Wines,2355,2022-05-01
Mendel Finca Remota Blend,Mendel Wines,9750,2022-05-01
Gauchezco Gran Corte Blend,Gauchezco Wines,5040,2022-05-01
Varúa Blend 2017,Finca La Anita,4501,2022-05-01
Nico by Luca,Laura Catena Wines – Bodega Luca,11356,2022-05-01
Domaine Nico Pinot Noir - Parcela Le Paradis,Laura Catena Wines – Domaine Nico,32840,2022-05-01
Estancia Uspallata Malbec,Estancia Uspallata,4800,2022-05-01
Estancia Uspallata Pinot Noir,Estancia Uspallata,3896,2022-05-01
Volare del Camino Malbec 2019,Per Se – Bonomi & Del Popolo,19800,2022-05-01
Inseparable Malbec Gualtallary,Per Se – Bonomi & Del Popolo,4800,2022-05-01
Pachamama Malbec,Matervini,5600,2022-05-01
"La Dama del Abrigo Rojo, Nebbiolo",Ver Sacrum,10480,2022-05-01
Socavones Reserva Malbec,"Terra Camiare, Colonia Caroya, Cordoba",1837,2022-05-01
Socavones Reserva Cabernet - Cabernet,"Terra Camiare, Colonia Caroya, Cordoba",1837,2022-05-01
Estereo Cabernet Franc,Viña Los Chocos,7840,2022-05-01
Viña Los Chocos Parcela 79 Malbec - Cabernet Franc,Viña Los Chocos,5120,2022-05-01
Viña Los Chocos Parcela 5 Pinot Noir,Viña Los Chocos,5120,2022-05-01
Cuatro Gatos Locos Malbec,Cuatro Gatos Locos (Gualtallary),1575,2022-05-01
Colome Altura Maxima Malbec,Colomé / Amalaya,9240,2022-05-01
Chañar Punco,El Esteco,7539,2022-05-01
Alto Los Cuises Malbec,El Porvenir,8400,2022-05-01
El Porvenir,El Porvenir,5250,2022-05-01
Laborum de Parcela Malbec Rio Seco,El Porvenir,2940,2022-05-01
