vino,bodega,precio,fecha
Mariflor Camille,Rolland Wine Collection,13328,2021-09-01
Mariflor Arthur & Theo,Rolland Wine Collection,13328,2021-09-01
Mariflor Raphael,Rolland Wine Collection,13328,2021-09-01
EL CLA 2015,Cuvelier Los Andes,10001,2021-09-01
Marcelo Pelleriti Grand Cuvee,Marcelo Pelleriti Wines,5800,2021-09-01
Cobos Malbec Marchiori 2017,Cobos (Hobbs – Marchiori – Barraud),48000,2021-09-01
Cobos Volturno 2017,Cobos (Hobbs – Marchiori – Barraud),39200,2021-09-01
Marchiori & Barraud Corte,Marchiori & Barraud,4575,2021-09-01
Alto Las Hormigas Malbec x 375 ml.,Alto las Hormigas (Alberto Antonini),315,2021-09-01
Mosquita Muerta Blend de Tintas,Mosquita Muerta Wines,1750,2021-09-01
Sapo de Otro Pozo Blend,Mosquita Muerta Wines,1365,2021-09-01
Pispi Blend,Mosquita Muerta Wines,1106,2021-09-01
"Benmarco ""Sin Limites"" Malbec Gualtallary",Susana Balbo Wines,1470,2021-09-01
"Benmarco ""Sin Limites"" Malbec El Pedernal",Susana Balbo Wines,1470,2021-09-01
"Benmarco ""Sin Limites"" Malbec Organico Valle de Uco",Susana Balbo Wines,1470,2021-09-01
Kaiken Mai,Kaiken,4620,2021-09-01
Mendel Malbec Finca Remota Malbec,Mendel Wines,7200,2021-09-01
Gauchezco Gran Corte Blend,Gauchezco Wines,3150,2021-09-01
Varúa Blend 2017,Finca La Anita,3220,2021-09-01
Nico by Luca,Laura Catena Wines – Bodega Luca,7732,2021-09-01
Domaine Nico Pinot Noir - Parcela Le Paradis,Laura Catena Wines – Domaine Nico,20204,2021-09-01
Estancia Uspallata Malbec,Estancia Uspallata,4800,2021-09-01
Estancia Uspallata Pinot Noir,Estancia Uspallata,3896,2021-09-01
A Merced del Tiempo Malbec - Cabernet Sauvignon,Michelini i Mufatto,3112,2021-09-01
Per Se  Jubileus Malbec 2018,Per Se – Bonomi & Del Popolo,29700,2021-09-01
"La Dama del Abrigo Rojo, Nebbiolo",Ver Sacrum,6970,2021-09-01
Socavones Reserva Malbec,"Tierra Camiare, Colonia Caroya, Cordoba",1200,2021-09-01
Socavones Reserva Cabernet - Cabernet,"Tierra Camiare, Colonia Caroya, Cordoba",1200,2021-09-01
Viña Los Chocos Parcela 79 Malbec - Cabernet Franc,Viña Los Chocos,3920,2021-09-01
Viña Los Chocos Parcela 5 Pinot Noir,Viña Los Chocos,3920,2021-09-01
Zuccardi Piedra Infinita Gravascal Malbec 2016,Familia Zuccardi,28791,2021-09-01
Zuccardi Piedra Infinita Malbec 2016,Familia Zuccardi,23310,2021-09-01
Zuccardi Piedra Infinita Malbec 2017,Familia Zuccardi,16650,2021-09-01
Zuccardi Finca Canal Uco Malbec 2017,Familia Zuccardi,15570,2021-09-01
Las Perdices Alae Malbec,Viña Las Perdices,5005,2021-09-01
Las Perdices Reserva Don Juan,Viña Las Perdices,1715,2021-09-01
Las Perdices Espumante Champenoise Brut Nature,Viña Las Perdices,931,2021-09-01
Las Perdices Espumante Champenoise Rosado,Viña Las Perdices,931,2021-09-01
Las Perdices Espumante Champenoise Extra Brut,Viña Las Perdices,833,2021-09-01
Las Perdices Viognier Cosecha Tardia,Viña Las Perdices,833,2021-09-01
D.V. Catena Adrianna Malbec Tupungato Alto,Catena Zapata,3375,2021-09-01
D.V. Catena Nicasia Malbec Altamira,Catena Zapata,3150,2021-09-01
D.V. Catena La Piramide Cabernet Sauvignon Agrelo,Catena Zapata,3150,2021-09-01
"D.V. Catena ""Blanco Historico"" - Apelacion Agrelo -",Catena Zapata,2745,2021-09-01
D.V. Catena Espumante Nature,Catena Zapata,2370,2021-09-01
Angelica Zapata Malbec,Catena Zapata,3510,2021-09-01
Angelica Zapata Cabernet Franc,Catena Zapata,2490,2021-09-01
Angelica Zapata Cabernet Sauvignon,Catena Zapata,1950,2021-09-01
Angelica Zapata Chardonnay,Catena Zapata,1800,2021-09-01
Angelica Zapata Merlot,Catena Zapata,1785,2021-09-01
D.V. Catena Cabernet - Cabernet,Catena Zapata,2250,2021-09-01
D.V. Catena Malbec - Malbec,Catena Zapata,2175,2021-09-01
D.V. Catena Pinot Noir - Pinot Noir,Catena Zapata,1852,2021-09-01
D.V. Catena Syrah - Syrah,Catena Zapata,1575,2021-09-01
D.V. Catena Cabernet - Malbec,Catena Zapata,1125,2021-09-01
Saint Felicien Bonarda,Catena Zapata,1950,2021-09-01
Nicolas Catena Zapata 2016,Catena Zapata (Ediciones limitadas),14220,2021-09-01
Nicolas Catena Zapata 2017,Catena Zapata (Ediciones limitadas),11700,2021-09-01
Catena Zapata Malbec Argentino 2017,Catena Zapata (Ediciones limitadas),11700,2021-09-01
Catena Zapata Malbec Argentino 2018,Catena Zapata (Ediciones limitadas),10710,2021-09-01
Nicola Catena Bonarda,Catena Zapata (Ediciones limitadas),4900,2021-09-01
Adrianna Vineyard - Mundus Bacillus Terrae - Malbec 2011,Catena Zapata (Ediciones limitadas),66780,2021-09-01
Adrianna Vineyard - Mundus Bacillus Terrae - Malbec 2014,Catena Zapata (Ediciones limitadas),50580,2021-09-01
Adrianna Vineyard - Mundus Bacillus Terrae - Malbec 2015,Catena Zapata (Ediciones limitadas),45810,2021-09-01
Adrianna Vineyard - Mundus Bacillus Terrae - Malbec 2016,Catena Zapata (Ediciones limitadas),41400,2021-09-01
Adrianna Vineyard - Mundus Bacillus Terrae - Malbec 2017,Catena Zapata (Ediciones limitadas),37980,2021-09-01
Adrianna Vineyard - River Stones - Malbec 2017,Catena Zapata (Ediciones limitadas),19620,2021-09-01
Adrianna Vineyard - Fortuna Terrae Malbec 2017,Catena Zapata (Ediciones limitadas),15705,2021-09-01
Adrianna Vineyard - White Bones - Chardonnay 2018,Catena Zapata (Ediciones limitadas),17010,2021-09-01
Adrianna Vineyard - White Stones - Chardonnay 2018,Catena Zapata (Ediciones limitadas),13590,2021-09-01
Don Malbec,Escorihuela Gascón,5250,2021-09-01
Miguel Escorihuela Gascon Malbec,Escorihuela Gascón,3290,2021-09-01
Pequeñas Producciones Malbec,Escorihuela Gascón,1960,2021-09-01
Pequeñas Producciones Cabernet Franc,Escorihuela Gascón,1960,2021-09-01
Pequeñas Producciones Cabernet Sauvignon,Escorihuela Gascón,1960,2021-09-01
Pequeñas Producciones Pinot Noir,Escorihuela Gascón,1960,2021-09-01
Pequeñas Producciones Chardonnay,Escorihuela Gascón,1960,2021-09-01
Rutini Rose de Malbec,La Rural,3315,2021-09-01
Coleccion Rutini Malbec x 375 ml.,La Rural,1264,2021-09-01
Colección Rutini Cabernet Sauvignon - Malbec x 375 ml.,La Rural,777,2021-09-01
Trumpeter Malbec x 375 ml.,La Rural,433,2021-09-01
Luigi Bosca Icono 2011,Luigi Bosca,16575,2021-09-01
Luigi Bosca Icono 2015,Luigi Bosca,12712,2021-09-01
Luigi Bosca Icono 2018,Luigi Bosca,8992,2021-09-01
Finca Los Nobles Cabernet Bouchet,Luigi Bosca,3600,2021-09-01
Finca Los Nobles Malbec Verdot,Luigi Bosca,3600,2021-09-01
Finca Los Nobles Chardonnay,Luigi Bosca,1800,2021-09-01
Luigi Bosca Malbec x 375 ml.,Luigi Bosca,881,2021-09-01
Alta Vista Premium Malbec x 375 ml.,Alta Vista,386,2021-09-01
Casarena DNA Malbec,Casarena,3220,2021-09-01
Cruzat Milesimee 2014,Bodega Cruzat,2940,2021-09-01
Sophenia Roberto L,Finca Sophenia,2940,2021-09-01
Casa Boher Gran Corte,Bodega Rosell Boher,4230,2021-09-01
Casa Boher Gran Reserva Blend,Bodega Rosell Boher,3060,2021-09-01
Casa Boher Gran Reserva Chardonnay,Bodega Rosell Boher,2790,2021-09-01
Altaluvia Malbec,Doña Paula,2825,2021-09-01
Altaluvia Cabernet Franc,Doña Paula,2825,2021-09-01
Altaluvia Riesling,Doña Paula,2825,2021-09-01
Doña Paula Estate Malbec x 375 ml.,Doña Paula,345,2021-09-01
Andeluna Blanc de Franc Rose,Bodega Andeluna,1470,2021-09-01
Gran VU Blend,Bodega Salentein,7000,2021-09-01
Montchenot Tinto x 375 ml.,Bodegas y Viñedos López,444,2021-09-01
Chateau Vieux Tinto x 375 ml.,Bodegas y Viñedos López,304,2021-09-01
Rincon Famoso Tinto x 375 ml.,Bodegas y Viñedos López,191,2021-09-01
Amalaya Malbec x 375 ml.,Colomé / Amalaya,301,2021-09-01
Altimus,El Esteco,3639,2021-09-01
Chañar Punco,El Esteco,3088,2021-09-01
El Porvenir,El Porvenir,3850,2021-09-01
Laborum de Parcela Malbec Rio Seco,El Porvenir,2100,2021-09-01
Laborum de Parcela Tannat Rio Seco,El Porvenir,2100,2021-09-01
Laborum de Parcela Chardonnay Los Cuises,El Porvenir,2100,2021-09-01
Laborum de Parcela Torrontes Finca El Retiro,El Porvenir,2100,2021-09-01
Pequeñas Fermentaciones Bonarda,El Porvenir,1015,2021-09-01
Yacuil Malbec 2018,Yacuil (Yacochuya + Tacuil),5520,2021-09-01
Pyros Limestone Hill Malbec,Pyros,6000,2021-09-01
"Inculto Malbec ""El Algarrobo"", Cafayate","Inculto, Valles Calchaquies - Pancho Lavaque & Matias Michelini",8925,2021-09-01
"Inculto Malbec ""El Abrazo"", Cafayate","Inculto, Valles Calchaquies - Pancho Lavaque & Matias Michelini",8925,2021-09-01
