vino,bodega,precio,fecha
Altocedro Desnudos 2010,Karim Mussi Winemaker,2975,2018-05-01
Mariflor Camille,Rolland Wine Collection,3040,2018-05-01
Mariflor Arthur & Theo,Rolland Wine Collection,3040,2018-05-01
Mariflor Raphael,Rolland Wine Collection,3040,2018-05-01
Pala Corazon Malbec Gualtallary,Pala Corazón (Lucas Niven),247,2018-05-01
Pala Corazon Malbec Paraje Altamira,Pala Corazón (Lucas Niven),247,2018-05-01
"Pala Corazon Tinto - cabernet, malbec, barbera -",Pala Corazón (Lucas Niven),247,2018-05-01
Pala Corazon Cabernet Franc,Pala Corazón (Lucas Niven),247,2018-05-01
Pala Corazon Bonarda,Pala Corazón (Lucas Niven),247,2018-05-01
Pala Corazon Blanco,Pala Corazón (Lucas Niven),217,2018-05-01
"Cobos Malbec, Chañares Vineyard 2014",Cobos (Hobbs – Marchiori – Barraud),5780,2018-05-01
"Cobos Volturno, Marchiori Vineyard 2013",Cobos (Hobbs – Marchiori – Barraud),5780,2018-05-01
"Cobos Malbec, Marchiori Vineyard 2014",Cobos (Hobbs – Marchiori – Barraud),4675,2018-05-01
Alto Las Hormigas Clasico Malbec x 375 ml.,Alto las Hormigas (Alberto Antonini),132,2018-05-01
Mosquita Muerta Blend de Tintas,Mosquita Muerta Wines,490,2018-05-01
Mosquita Muerta Blend de Blancas,Mosquita Muerta Wines,245,2018-05-01
Sapo de Otro Pozo Blend,Mosquita Muerta Wines,434,2018-05-01
Pispi Blend,Mosquita Muerta Wines,322,2018-05-01
Tikal Jubilo,Ernesto Catena,441,2018-05-01
Tikal Amorio,Ernesto Catena,399,2018-05-01
Tikal Patriota,Ernesto Catena,372,2018-05-01
Tikal Natural Bio,Ernesto Catena,298,2018-05-01
Nico by Luca,Laura Catena Wines,1721,2018-05-01
Zuccardi Finca Canal Uco Malbec 2013,Familia Zuccardi,1634,2018-05-01
Zuccardi Piedra Infinita Malbec 2014,Familia Zuccardi,1634,2018-05-01
Jose Zuccardi,Familia Zuccardi,637,2018-05-01
Las Perdices Malbec x 375 ml.,Viña Las Perdices,98,2018-05-01
D.V. Catena Adrianna Malbec Gualtallary,Catena Zapata,892,2018-05-01
D.V. Catena Nicasia Malbec Altamira,Catena Zapata,825,2018-05-01
D.V. Catena La Piramide Cabernet Sauvignon Agrelo,Catena Zapata,825,2018-05-01
D.V. Catena Espumante Nature,Catena Zapata,750,2018-05-01
Nicola Catena Bonarda,Catena Zapata,1012,2018-05-01
Angelica Zapata Cabernet Franc Vineyard Designated,Catena Zapata,1477,2018-05-01
Angelica Zapata Malbec,Catena Zapata,712,2018-05-01
Angelica Zapata Cabernet Franc,Catena Zapata,547,2018-05-01
Angelica Zapata Cabernet Sauvignon,Catena Zapata,483,2018-05-01
Angelica Zapata Merlot,Catena Zapata,483,2018-05-01
Angelica Zapata Chardonnay,Catena Zapata,472,2018-05-01
D.V. Catena Cabernet - Cabernet,Catena Zapata,630,2018-05-01
D.V. Catena Malbec - Malbec,Catena Zapata,465,2018-05-01
D.V. Catena Pinot Noir - Pinot Noir,Catena Zapata,465,2018-05-01
D.V. Catena Cabernet - Malbec,Catena Zapata,358,2018-05-01
D.V. Catena Malbec - Grenache,Catena Zapata,358,2018-05-01
D.V. Catena Cabernet - Syrah,Catena Zapata,358,2018-05-01
D.V. Catena Chardonnay - Chardonnay,Catena Zapata,340,2018-05-01
Saint Felicien Bonarda,Catena Zapata,288,2018-05-01
Catena Zapata Estiba Reservada 2009,Catena Zapata (Ediciones limitadas),9900,2018-05-01
Catena Zapata Estiba Reservada 2010,Catena Zapata (Ediciones limitadas),8910,2018-05-01
Catena Zapata Estiba Reservada 2013,Catena Zapata (Ediciones limitadas),6750,2018-05-01
Catena Zapata Malbec Argentino 2013,Catena Zapata (Ediciones limitadas),2178,2018-05-01
Nicolas Catena Zapata 2013,Catena Zapata (Ediciones limitadas),2178,2018-05-01
Adrianna Vineyard - White Bones - Chardonnay 2012,Catena Zapata (Ediciones limitadas),2952,2018-05-01
Adrianna Vineyard - White Bones - Chardonnay 2014,Catena Zapata (Ediciones limitadas),2295,2018-05-01
Adrianna Vineyard - Fortuna Terrae Malbec 2013,Catena Zapata (Ediciones limitadas),2655,2018-05-01
Adrianna Vineyard - River Stones - Malbec 2012,Catena Zapata (Ediciones limitadas),2502,2018-05-01
Adrianna Vineyard - River Stones - Malbec 2013,Catena Zapata (Ediciones limitadas),2178,2018-05-01
Adrianna Vineyard - White Stones - Chardonnay 2012,Catena Zapata (Ediciones limitadas),2070,2018-05-01
Adrianna Vineyard - White Stones - Chardonnay 2014,Catena Zapata (Ediciones limitadas),1620,2018-05-01
Don Malbec,Escorihuela Gascón,1365,2018-05-01
Miguel Escorihuela Gascon Malbec,Escorihuela Gascón,805,2018-05-01
Pequeñas Producciones Malbec,Escorihuela Gascón,476,2018-05-01
Pequeñas Producciones Cabernet Sauvignon,Escorihuela Gascón,448,2018-05-01
Pequeñas Producciones Syrah,Escorihuela Gascón,448,2018-05-01
Pequeñas Producciones Cabernet Franc,Escorihuela Gascón,448,2018-05-01
Pequeñas Producciones Chardonnay,Escorihuela Gascón,448,2018-05-01
Colección Rutini Cabernet - Malbec x 375 ml.,La Rural,229,2018-05-01
Trumpeter Malbec x 375 ml.,La Rural,130,2018-05-01
Luigi Bosca Icono,Luigi Bosca,3200,2018-05-01
Alta Vista Premium Malbec x 375 ml.,Alta Vista,143,2018-05-01
Casarena DNA Malbec,Casarena,805,2018-05-01
Cruzat Larrain Milesimee 2006,Bodega Cruzat Larrain,1317,2018-05-01
RJ Distinto,Bodega Joffre e Hijas,714,2018-05-01
RJ Malbec,Bodega Joffre e Hijas,693,2018-05-01
Sophenia Roberto L,Finca Sophenia,770,2018-05-01
Doña Paula Estate Malbec x 375 ml.,Doña Paula,116,2018-05-01
Altimus,El Esteco,864,2018-05-01
Chañar Punco,El Esteco,822,2018-05-01
Yacuil Malbec 2013,Tacuil – Familia Dávalos,1640,2018-05-01
Noemía 2014,Noemía,3040,2018-05-01
Noemía 2015,Noemía,2880,2018-05-01
