vino,bodega,precio,fecha
Mariflor Camille,Rolland Wine Collection,4960,2019-03-01
Mariflor Arthur & Theo,Rolland Wine Collection,4960,2019-03-01
Mariflor Raphael,Rolland Wine Collection,4960,2019-03-01
EL Cuvelier Los Andes,Cuvelier Los Andes,3484,2019-03-01
Pala Corazon Malbec Paraje Altamira,Pala Corazón (Lucas Niven),247,2019-03-01
"Pala Corazon Tinto - cabernet, malbec, barbera -",Pala Corazón (Lucas Niven),247,2019-03-01
Pala Corazon Blanco,Pala Corazón (Lucas Niven),217,2019-03-01
"Cobos Malbec, Chañares Vineyard 2014",Cobos (Hobbs – Marchiori – Barraud),7650,2019-03-01
"Cobos Volturno, Marchiori Vineyard 2013",Cobos (Hobbs – Marchiori – Barraud),7170,2019-03-01
"Cobos Malbec, Marchiori Vineyard 2014",Cobos (Hobbs – Marchiori – Barraud),6375,2019-03-01
Pispi Blend,Mosquita Muerta Wines,347,2019-03-01
Gauchezco Gran Corte Blend,Gauchezco Wines,1260,2019-03-01
Nico by Luca,Laura Catena Wines,2737,2019-03-01
Pachamama Malbec,Matervini,1200,2019-03-01
Zuccardi Finca Canal Uco Malbec 2015,Familia Zuccardi,2061,2019-03-01
Zuccardi Piedra Infinita Malbec 2015,Familia Zuccardi,2061,2019-03-01
Las Perdices Malbec x 375 ml.,Viña Las Perdices,135,2019-03-01
D.V. Catena Adrianna Malbec Gualtallary,Catena Zapata,1050,2019-03-01
D.V. Catena Nicasia Malbec Altamira,Catena Zapata,975,2019-03-01
D.V. Catena La Piramide Cabernet Sauvignon Agrelo,Catena Zapata,975,2019-03-01
D.V. Catena Espumante Nature,Catena Zapata,922,2019-03-01
Nicola Catena Bonarda,Catena Zapata,1113,2019-03-01
Angelica Zapata Cabernet Franc Vineyard Designated,Catena Zapata,1785,2019-03-01
Angelica Zapata Malbec,Catena Zapata,892,2019-03-01
Angelica Zapata Cabernet Franc,Catena Zapata,660,2019-03-01
Angelica Zapata Cabernet Sauvignon,Catena Zapata,585,2019-03-01
Angelica Zapata Merlot,Catena Zapata,585,2019-03-01
Angelica Zapata Chardonnay,Catena Zapata,570,2019-03-01
D.V. Catena Cabernet - Cabernet,Catena Zapata,750,2019-03-01
D.V. Catena Malbec - Malbec,Catena Zapata,566,2019-03-01
D.V. Catena Pinot Noir - Pinot Noir,Catena Zapata,562,2019-03-01
D.V. Catena Cabernet - Syrah,Catena Zapata,429,2019-03-01
D.V. Catena Malbec - Grenache,Catena Zapata,429,2019-03-01
D.V. Catena Cabernet - Malbec,Catena Zapata,429,2019-03-01
D.V. Catena Chardonnay - Chardonnay,Catena Zapata,412,2019-03-01
Saint Felicien Bonarda,Catena Zapata,348,2019-03-01
Catena Zapata Estiba Reservada 2009,Catena Zapata (Ediciones limitadas),14742,2019-03-01
Catena Zapata Estiba Reservada 2010,Catena Zapata (Ediciones limitadas),13410,2019-03-01
Catena Zapata Estiba Reservada 2013,Catena Zapata (Ediciones limitadas),10071,2019-03-01
Nicolas Catena Zapata 2014,Catena Zapata (Ediciones limitadas),2943,2019-03-01
Catena Zapata Malbec Argentino 2015,Catena Zapata (Ediciones limitadas),2632,2019-03-01
Adrianna Vineyard - White Bones - Chardonnay 2012,Catena Zapata (Ediciones limitadas),4675,2019-03-01
Adrianna Vineyard - White Bones - Chardonnay 2015,Catena Zapata (Ediciones limitadas),3514,2019-03-01
Adrianna Vineyard - White Bones - Chardonnay 2016,Catena Zapata (Ediciones limitadas),3195,2019-03-01
Adrianna Vineyard - Fortuna Terrae Malbec 2013,Catena Zapata (Ediciones limitadas),4878,2019-03-01
Adrianna Vineyard - Fortuna Terrae Malbec 2014,Catena Zapata (Ediciones limitadas),4437,2019-03-01
Adrianna Vineyard - Fortuna Terrae Malbec 2015,Catena Zapata (Ediciones limitadas),4032,2019-03-01
Adrianna Vineyard - River Stones - Malbec 2013,Catena Zapata (Ediciones limitadas),4878,2019-03-01
Adrianna Vineyard - River Stones - Malbec 2014,Catena Zapata (Ediciones limitadas),4437,2019-03-01
Adrianna Vineyard - River Stones - Malbec 2015,Catena Zapata (Ediciones limitadas),4032,2019-03-01
Adrianna Vineyard - White Stones - Chardonnay 2015,Catena Zapata (Ediciones limitadas),2475,2019-03-01
Adrianna Vineyard - White Stones - Chardonnay 2016,Catena Zapata (Ediciones limitadas),2250,2019-03-01
Don Malbec,Escorihuela Gascón,1470,2019-03-01
Miguel Escorihuela Gascon Malbec,Escorihuela Gascón,980,2019-03-01
Pequeñas Producciones Malbec,Escorihuela Gascón,528,2019-03-01
Pequeñas Producciones Cabernet Sauvignon,Escorihuela Gascón,528,2019-03-01
Pequeñas Producciones Syrah,Escorihuela Gascón,528,2019-03-01
Pequeñas Producciones Chardonnay,Escorihuela Gascón,528,2019-03-01
Coleccion Rutini Malbec x 375 ml.,La Rural,403,2019-03-01
Colección Rutini Cabernet - Malbec x 375 ml.,La Rural,274,2019-03-01
Trumpeter Malbec x 375 ml.,La Rural,156,2019-03-01
Luigi Bosca Icono,Luigi Bosca,3600,2019-03-01
Alta Vista Premium Malbec x 375 ml.,Alta Vista,181,2019-03-01
Nieto Senetiner Brut Nature x 375,Bodega Nieto Senetiner,144,2019-03-01
Nieto Senetiner Brut Nature x 187,Bodega Nieto Senetiner,75,2019-03-01
Cruzat Larrain Milesimee 2006,Bodega Cruzat Larrain,1386,2019-03-01
RJ Distinto,Bodega Joffre e Hijas,1435,2019-03-01
RJ Malbec,Bodega Joffre e Hijas,1295,2019-03-01
Sophenia Roberto L,Finca Sophenia,1050,2019-03-01
Septima Gran Malbec,Séptima,1750,2019-03-01
Rosell Boher Grand Cuvee 70 meses sobre Lías,Bodega Rosell Boher,2340,2019-03-01
Vicentin Maldito Malbec,Vicentín Family Wines,854,2019-03-01
Doña Paula Estate Malbec x 375 ml.,Doña Paula,166,2019-03-01
Altimus,El Esteco,1152,2019-03-01
Chañar Punco,El Esteco,1097,2019-03-01
Yacuil Malbec 2013,Tacuil – Familia Dávalos,2210,2019-03-01
Yacuil Malbec 2015,Tacuil – Familia Dávalos,2040,2019-03-01
Noemia Malbec 2016,Noemía,3600,2019-03-01
Noemía Malbec 2015,Noemía,3600,2019-03-01
