vino,bodega,precio,fecha
Mariflor Camille,Rolland Wine Collection,8192,2020-02-01
Mariflor Arthur & Theo,Rolland Wine Collection,8192,2020-02-01
Mariflor Raphael,Rolland Wine Collection,8192,2020-02-01
Marcelo Pelleriti Grand Cuvee,Marcelo Pelleriti Wines,3120,2020-02-01
Cobos Marchiori Malbec 2015,Cobos (Hobbs – Marchiori – Barraud),14688,2020-02-01
Cobos Marchiori Malbec 2016,Cobos (Hobbs – Marchiori – Barraud),13920,2020-02-01
Marchiori & Barraud Corte,Marchiori & Barraud,2700,2020-02-01
Mosquita Muerta Blend de Tintas,Mosquita Muerta Wines,897,2020-02-01
Sapo de Otro Pozo Blend,Mosquita Muerta Wines,686,2020-02-01
Pispi Blend,Mosquita Muerta Wines,601,2020-02-01
Mendel Malbec Finca Remota,Mendel Wines,3300,2020-02-01
Gauchezco Gran Corte Blend,Gauchezco Wines,1680,2020-02-01
Nico by Luca,Laura Catena Wines – Bodega Luca,4360,2020-02-01
Preciado 2005,Alfredo Roca,2512,2020-02-01
Preciado 2009,Alfredo Roca,2115,2020-02-01
Preciado 2012,Alfredo Roca,1627,2020-02-01
Pachamama Malbec,Matervini,1575,2020-02-01
Traslapiedra Malbec x 1000 ml.,Traslapiedra,736,2020-02-01
Estancia Uspallata Malbec,Estancia Uspallata,1600,2020-02-01
Estancia Uspallata Pinot Noir,Estancia Uspallata,1400,2020-02-01
Estancia Uspallata Espumante Brut Nature,Estancia Uspallata,800,2020-02-01
Padma Garnacha Rose,Corazón del Sol,900,2020-02-01
A Merced del Tiempo Malbec - Cabernet Sauvignon,Michelini i Mufatto,2760,2020-02-01
Lagarde Malbec x 375 ml.,Lagarde,281,2020-02-01
Zuccardi Aluvional Altamira,Familia Zuccardi,3276,2020-02-01
Zuccardi Aluvional Gualtallary,Familia Zuccardi,3276,2020-02-01
Zuccardi Aluvional Los Chacayes,Familia Zuccardi,3276,2020-02-01
Santa Julia Espumante Classic Cuvee x 187,Familia Zuccardi,148,2020-02-01
Las Perdices Malbec x 375 ml.,Viña Las Perdices,182,2020-02-01
D.V. Catena Adrianna Malbec Gualtallary,Catena Zapata,1567,2020-02-01
D.V. Catena Nicasia Malbec Altamira,Catena Zapata,1485,2020-02-01
D.V. Catena La Piramide Cabernet Sauvignon Agrelo,Catena Zapata,1485,2020-02-01
D.V. Catena Espumante Nature,Catena Zapata,1237,2020-02-01
Angelica Zapata Malbec,Catena Zapata,1380,2020-02-01
Angelica Zapata Cabernet Franc,Catena Zapata,1042,2020-02-01
Angelica Zapata Cabernet Sauvignon,Catena Zapata,952,2020-02-01
Angelica Zapata Merlot,Catena Zapata,952,2020-02-01
Angelica Zapata Chardonnay,Catena Zapata,892,2020-02-01
D.V. Catena Cabernet - Cabernet,Catena Zapata,1031,2020-02-01
D.V. Catena Malbec - Malbec,Catena Zapata,825,2020-02-01
D.V. Catena Pinot Noir - Pinot Noir,Catena Zapata,783,2020-02-01
D.V. Catena Syrah - Syrah,Catena Zapata,726,2020-02-01
D.V. Catena Cabernet - Malbec,Catena Zapata,611,2020-02-01
D.V. Catena Chardonnay - Chardonnay,Catena Zapata,590,2020-02-01
Saint Felicien Bonarda,Catena Zapata,907,2020-02-01
Nicolas Catena Zapata 2015,Catena Zapata (Ediciones limitadas),4702,2020-02-01
Nicolas Catena Zapata 2016,Catena Zapata (Ediciones limitadas),4257,2020-02-01
Catena Zapata Malbec Argentino 2017,Catena Zapata (Ediciones limitadas),4257,2020-02-01
Nicola Catena Bonarda,Catena Zapata (Ediciones limitadas),2610,2020-02-01
Adrianna Vineyard - River Stones - Malbec 2013,Catena Zapata (Ediciones limitadas),8928,2020-02-01
Adrianna Vineyard - Fortuna Terrae Malbec 2013,Catena Zapata (Ediciones limitadas),8604,2020-02-01
Adrianna Vineyard - Fortuna Terrae Malbec 2014,Catena Zapata (Ediciones limitadas),7785,2020-02-01
Adrianna Vineyard - Fortuna Terrae Malbec 2015,Catena Zapata (Ediciones limitadas),7078,2020-02-01
Adrianna Vineyard - Fortuna Terrae Malbec 2016,Catena Zapata (Ediciones limitadas),6426,2020-02-01
Adrianna Vineyard - White Bones - Chardonnay 2012,Catena Zapata (Ediciones limitadas),7897,2020-02-01
Adrianna Vineyard - White Bones - Chardonnay 2015,Catena Zapata (Ediciones limitadas),5935,2020-02-01
Adrianna Vineyard - White Bones - Chardonnay 2016,Catena Zapata (Ediciones limitadas),5391,2020-02-01
Adrianna Vineyard - White Bones - Chardonnay 2017,Catena Zapata (Ediciones limitadas),4900,2020-02-01
Adrianna Vineyard - White Stones - Chardonnay 2017,Catena Zapata (Ediciones limitadas),3541,2020-02-01
The President Blend,Escorihuela Gascón,1260,2020-02-01
Pequeñas Producciones Malbec,Escorihuela Gascón,980,2020-02-01
Pequeñas Producciones Cabernet Sauvignon,Escorihuela Gascón,980,2020-02-01
Pequeñas Producciones Syrah,Escorihuela Gascón,980,2020-02-01
Pequeñas Producciones Pinot Noir,Escorihuela Gascón,980,2020-02-01
Pequeñas Producciones Chardonnay,Escorihuela Gascón,980,2020-02-01
Coleccion Rutini Malbec x 375 ml.,La Rural,639,2020-02-01
Colección Rutini Cabernet - Malbec x 375 ml.,La Rural,391,2020-02-01
Trumpeter Malbec x 375 ml.,La Rural,223,2020-02-01
Luigi Bosca Icono 2009,Luigi Bosca,8250,2020-02-01
Luigi Bosca Icono 2011,Luigi Bosca,4950,2020-02-01
Finca Los Nobles Cabernet Bouchet,Luigi Bosca,1980,2020-02-01
Finca Los Nobles Malbec Verdot,Luigi Bosca,1980,2020-02-01
Finca Los Nobles Chardonnay,Luigi Bosca,990,2020-02-01
Luigi Bosca Boheme Brut Nature,Luigi Bosca,1485,2020-02-01
Luigi Bosca Malbec x 375 ml.,Luigi Bosca,412,2020-02-01
Finca La Linda Malbec x 375 ml.,Luigi Bosca,232,2020-02-01
Alta Vista Premium Malbec x 375 ml.,Alta Vista,240,2020-02-01
Nieto Senetiner Brut Nature x 375,Bodega Nieto Senetiner,243,2020-02-01
Nieto Senetiner Brut Nature x 187,Bodega Nieto Senetiner,137,2020-02-01
Casarena DNA Malbec,Casarena,1000,2020-02-01
Casarena DNA Cabernet Sauvignon,Casarena,1000,2020-02-01
Cruzat Larrain Milesimee 2006,Bodega Cruzat Larrain,1610,2020-02-01
RJ Distinto,Bodega Joffre e Hijas,1750,2020-02-01
RJ Malbec,Bodega Joffre e Hijas,1610,2020-02-01
Sophenia Roberto L,Finca Sophenia,1645,2020-02-01
Rosell Boher Grand Cuvee 70 meses sobre Lías,Bodega Rosell Boher,3150,2020-02-01
Vicentin Maldito Malbec,Vicentín Family Wines,1466,2020-02-01
