vino,bodega,precio,fecha
Lindaflor La Violeta Malbec 2012,Monteviejo,7650,2020-08-01
Mariflor Camille,Rolland Wine Collection,9200,2020-08-01
Mariflor Arthur & Theo,Rolland Wine Collection,9200,2020-08-01
Mariflor Raphael,Rolland Wine Collection,9200,2020-08-01
EL CLA 2013,Cuvelier Los Andes,6019,2020-08-01
Marcelo Pelleriti Grand Cuvee,Marcelo Pelleriti Wines,3440,2020-08-01
Cobos Malbec Marchiori Estate 2016,Cobos (Hobbs – Marchiori – Barraud),18560,2020-08-01
Marchiori & Barraud Corte,Marchiori & Barraud,2970,2020-08-01
Alto Las Hormigas Malbec x 375 ml.,Alto las Hormigas (Alberto Antonini),277,2020-08-01
Mosquita Muerta Blend de Tintas,Mosquita Muerta Wines,1036,2020-08-01
Sapo de Otro Pozo Blend,Mosquita Muerta Wines,791,2020-08-01
Pispi Blend,Mosquita Muerta Wines,692,2020-08-01
Mendel Malbec Finca Remota,Mendel Wines,3900,2020-08-01
Gauchezco Gran Corte Blend,Gauchezco Wines,1932,2020-08-01
Varúa Blend,Finca La Anita,2450,2020-08-01
Nico by Luca,Laura Catena Wines – Bodega Luca,5276,2020-08-01
Preciado 2005,Alfredo Roca,2902,2020-08-01
Preciado 2009,Alfredo Roca,2460,2020-08-01
Preciado 2012,Alfredo Roca,1987,2020-08-01
Estancia Uspallata Malbec,Estancia Uspallata,2400,2020-08-01
Estancia Uspallata Pinot Noir,Estancia Uspallata,2000,2020-08-01
Estancia Uspallata Espumante Brut Nature,Estancia Uspallata,1200,2020-08-01
Padma Garnacha Rose,Corazón del Sol,1200,2020-08-01
A Merced del Tiempo Malbec - Cabernet Sauvignon,Michelini i Mufatto,3320,2020-08-01
Pachamama Malbec,Matervini,1950,2020-08-01
Lagarde Malbec x 375 ml.,Lagarde,321,2020-08-01
Zuccardi Piedra Infinita Malbec 2016,Familia Zuccardi,8500,2020-08-01
Zuccardi Finca Canal Uco Malbec 2016,Familia Zuccardi,5601,2020-08-01
Zuccardi Aluvional Altamira,Familia Zuccardi,3423,2020-08-01
Zuccardi Aluvional Gualtallary,Familia Zuccardi,3423,2020-08-01
Zuccardi Aluvional Los Chacayes,Familia Zuccardi,3423,2020-08-01
Santa Julia Cosecha Tradia,Familia Zuccardi,252,2020-08-01
Las Perdices Alae Malbec,Viña Las Perdices,2730,2020-08-01
Las Perdices Espumante Champenoise Brut Nature,Viña Las Perdices,511,2020-08-01
Las Perdices Espumante Champenoise Rosado,Viña Las Perdices,511,2020-08-01
Las Perdices Espumante Champenoise Extra Brut,Viña Las Perdices,448,2020-08-01
Las Perdices Malbec x 375 ml.,Viña Las Perdices,203,2020-08-01
D.V. Catena Adrianna Malbec Tupungato Alto,Catena Zapata,1987,2020-08-01
D.V. Catena Nicasia Malbec Altamira,Catena Zapata,1950,2020-08-01
D.V. Catena La Piramide Cabernet Sauvignon Agrelo,Catena Zapata,1950,2020-08-01
D.V. Catena Espumante Nature,Catena Zapata,1485,2020-08-01
Angelica Zapata Malbec,Catena Zapata,2130,2020-08-01
Angelica Zapata Cabernet Franc,Catena Zapata,1387,2020-08-01
Angelica Zapata Cabernet Sauvignon,Catena Zapata,1237,2020-08-01
Angelica Zapata Merlot,Catena Zapata,1237,2020-08-01
Angelica Zapata Chardonnay,Catena Zapata,1050,2020-08-01
D.V. Catena Cabernet - Cabernet,Catena Zapata,1320,2020-08-01
D.V. Catena Malbec - Malbec,Catena Zapata,1312,2020-08-01
D.V. Catena Syrah - Syrah,Catena Zapata,1237,2020-08-01
D.V. Catena Pinot Noir - Pinot Noir,Catena Zapata,990,2020-08-01
D.V. Catena Chardonnay - Chardonnay,Catena Zapata,750,2020-08-01
D.V. Catena Cabernet - Malbec,Catena Zapata,742,2020-08-01
Saint Felicien Bonarda,Catena Zapata,1237,2020-08-01
Nicolas Catena Zapata 2016,Catena Zapata (Ediciones limitadas),6570,2020-08-01
Catena Zapata Malbec Argentino 2017,Catena Zapata (Ediciones limitadas),6570,2020-08-01
Nicola Catena Bonarda,Catena Zapata (Ediciones limitadas),3411,2020-08-01
Adrianna Vineyard - Fortuna Terrae Malbec 2013,Catena Zapata (Ediciones limitadas),13149,2020-08-01
Adrianna Vineyard - Fortuna Terrae Malbec 2016,Catena Zapata (Ediciones limitadas),9900,2020-08-01
Don Malbec,Escorihuela Gascón,3220,2020-08-01
Miguel Escorihuela Gascon Malbec,Escorihuela Gascón,2030,2020-08-01
Pequeñas Producciones Malbec,Escorihuela Gascón,1155,2020-08-01
Pequeñas Producciones Cabernet Franc,Escorihuela Gascón,1155,2020-08-01
Pequeñas Producciones Cabernet Sauvignon,Escorihuela Gascón,1155,2020-08-01
Pequeñas Producciones Syrah,Escorihuela Gascón,1155,2020-08-01
Pequeñas Producciones Pinot Noir,Escorihuela Gascón,1155,2020-08-01
Pequeñas Producciones Chardonnay,Escorihuela Gascón,1155,2020-08-01
Rutini Rose de Malbec,La Rural,1798,2020-08-01
Coleccion Rutini Malbec x 375 ml.,La Rural,724,2020-08-01
Colección Rutini Cabernet Sauvignon - Malbec x 375 ml.,La Rural,464,2020-08-01
Trumpeter Malbec x 375 ml.,La Rural,258,2020-08-01
Luigi Bosca Icono 2009,Luigi Bosca,9750,2020-08-01
Luigi Bosca Icono 2011,Luigi Bosca,8250,2020-08-01
Luigi Bosca Icono 2015,Luigi Bosca,5625,2020-08-01
Finca Los Nobles Cabernet Bouchet,Luigi Bosca,2250,2020-08-01
Finca Los Nobles Malbec Verdot,Luigi Bosca,2250,2020-08-01
Finca Los Nobles Chardonnay,Luigi Bosca,1125,2020-08-01
Luigi Bosca Malbec x 375 ml.,Luigi Bosca,472,2020-08-01
Finca La Linda Malbec x 375 ml.,Luigi Bosca,270,2020-08-01
Alta Vista Premium Malbec x 375 ml.,Alta Vista,275,2020-08-01
Nieto Senetiner Brut Nature x 375,Bodega Nieto Senetiner,244,2020-08-01
Nieto Senetiner Brut Nature x 187,Bodega Nieto Senetiner,137,2020-08-01
PLC - Malbec 1914,Proyecto Las Compuertas,1476,2020-08-01
PLC - Cabernet Franc,Proyecto Las Compuertas,936,2020-08-01
Casarena DNA Malbec,Casarena,1260,2020-08-01
Casarena DNA Cabernet Sauvignon,Casarena,1260,2020-08-01
Cruzat Larrain Milesimee 2006,Bodega Cruzat Larrain,2030,2020-08-01
RJ Distinto,Bodega Joffre e Hijas,1625,2020-08-01
RJ Malbec,Bodega Joffre e Hijas,1495,2020-08-01
Sophenia Roberto L,Finca Sophenia,1960,2020-08-01
Rosell Boher Grand Cuvee 70 meses sobre Lías,Bodega Rosell Boher,4230,2020-08-01
Casa Boher Gran Corte,Bodega Rosell Boher,1800,2020-08-01
Doña Paula Estate Malbec x 375 ml.,Doña Paula,231,2020-08-01
Andeluna Blanc de Franc Rose,Bodega Andeluna,1200,2020-08-01
Amalaya Malbec x 375 ml.,Colomé / Amalaya,189,2020-08-01
Altimus,El Esteco,2079,2020-08-01
Chañar Punco,El Esteco,1595,2020-08-01
Laborum de Parcela Malbec Los Cuises,El Porvenir,1050,2020-08-01
Laborum de Parcela Chardonnay Los Cuises,El Porvenir,1050,2020-08-01
Laborum de Parcela Malbec Rio Seco,El Porvenir,1050,2020-08-01
Laborum de Parcela Tannat Rio Seco,El Porvenir,1050,2020-08-01
Laborum de Parcela Torrontes Finca El Retiro,El Porvenir,1050,2020-08-01
Noemia Malbec 2017,Noemía,8720,2020-08-01
