vino,bodega,precio,fecha
Mariflor Camille,Rolland Wine Collection,10291,2020-10-01
Mariflor Arthur & Theo,Rolland Wine Collection,10291,2020-10-01
Mariflor Raphael,Rolland Wine Collection,10291,2020-10-01
EL CLA 2013,Cuvelier Los Andes,6952,2020-10-01
Marcelo Pelleriti Grand Cuvee,Marcelo Pelleriti Wines,3840,2020-10-01
Cobos Volturno 2017,Cobos (Hobbs – Marchiori – Barraud),22400,2020-10-01
Marchiori & Barraud Corte,Marchiori & Barraud,3262,2020-10-01
Alto Las Hormigas Malbec x 375 ml.,Alto las Hormigas (Alberto Antonini),277,2020-10-01
Mosquita Muerta Blend de Tintas,Mosquita Muerta Wines,1113,2020-10-01
Sapo de Otro Pozo Blend,Mosquita Muerta Wines,903,2020-10-01
Pispi Blend,Mosquita Muerta Wines,735,2020-10-01
Mendel Malbec Finca Remota,Mendel Wines,3900,2020-10-01
Gauchezco Gran Corte Blend,Gauchezco Wines,2240,2020-10-01
Nico by Luca,Laura Catena Wines – Bodega Luca,5804,2020-10-01
Domaine Nico Pinot Noir - Parcela Le Paradis,Laura Catena Wines – Domaine Nico,16400,2020-10-01
Preciado 2005,Alfredo Roca,3600,2020-10-01
Preciado 2009,Alfredo Roca,3120,2020-10-01
Estancia Uspallata Malbec,Estancia Uspallata,3000,2020-10-01
Estancia Uspallata Pinot Noir,Estancia Uspallata,2400,2020-10-01
Estancia Uspallata Espumante Brut Nature,Estancia Uspallata,1440,2020-10-01
Padma Garnacha Rose,Corazón del Sol,1200,2020-10-01
A Merced del Tiempo Malbec - Cabernet Sauvignon,Michelini i Mufatto,3320,2020-10-01
Per Se  Jubileus 2017,Per Se – Bonomi & Del Popolo,14400,2020-10-01
Volare del Camino Malbec 2017,Per Se – Bonomi & Del Popolo,5400,2020-10-01
Pachamama Malbec,Matervini,2340,2020-10-01
Lagarde Malbec x 375 ml.,Lagarde,382,2020-10-01
Zuccardi Piedra Infinita Malbec 2016,Familia Zuccardi,8500,2020-10-01
Zuccardi Finca Canal Uco Malbec 2016,Familia Zuccardi,5601,2020-10-01
Zuccardi Fosil Chardonnay 2019,Familia Zuccardi,3825,2020-10-01
Zuccardi Aluvional Altamira,Familia Zuccardi,3423,2020-10-01
Zuccardi Aluvional Gualtallary,Familia Zuccardi,3423,2020-10-01
Zuccardi Aluvional Los Chacayes,Familia Zuccardi,3423,2020-10-01
Santa Julia Cosecha Tradia,Familia Zuccardi,252,2020-10-01
Las Perdices Alae Malbec,Viña Las Perdices,3150,2020-10-01
Las Perdices Espumante Champenoise Brut Nature,Viña Las Perdices,588,2020-10-01
Las Perdices Espumante Champenoise Rosado,Viña Las Perdices,588,2020-10-01
Las Perdices Espumante Champenoise Extra Brut,Viña Las Perdices,525,2020-10-01
Las Perdices Malbec x 375 ml.,Viña Las Perdices,238,2020-10-01
D.V. Catena Adrianna Malbec Tupungato Alto,Catena Zapata,2325,2020-10-01
D.V. Catena Nicasia Malbec Altamira,Catena Zapata,2175,2020-10-01
D.V. Catena La Piramide Cabernet Sauvignon Agrelo,Catena Zapata,2175,2020-10-01
D.V. Catena Espumante Nature,Catena Zapata,1635,2020-10-01
Angelica Zapata Malbec,Catena Zapata,2475,2020-10-01
Angelica Zapata Cabernet Franc,Catena Zapata,1725,2020-10-01
Angelica Zapata Cabernet Sauvignon,Catena Zapata,1350,2020-10-01
Angelica Zapata Merlot,Catena Zapata,1275,2020-10-01
Angelica Zapata Chardonnay,Catena Zapata,1237,2020-10-01
D.V. Catena Cabernet - Cabernet,Catena Zapata,1575,2020-10-01
D.V. Catena Malbec - Malbec,Catena Zapata,1500,2020-10-01
D.V. Catena Pinot Noir - Pinot Noir,Catena Zapata,1200,2020-10-01
D.V. Catena Chardonnay - Chardonnay,Catena Zapata,825,2020-10-01
D.V. Catena Cabernet - Malbec,Catena Zapata,817,2020-10-01
D.V. Catena Syrah - Syrah,Catena Zapata,1125,2020-10-01
Saint Felicien Bonarda,Catena Zapata,1350,2020-10-01
Nicolas Catena Zapata 2016,Catena Zapata (Ediciones limitadas),8010,2020-10-01
Nicolas Catena Zapata 2017,Catena Zapata (Ediciones limitadas),7290,2020-10-01
Catena Zapata Malbec Argentino 2017,Catena Zapata (Ediciones limitadas),7290,2020-10-01
Nicola Catena Bonarda,Catena Zapata (Ediciones limitadas),3411,2020-10-01
Adrianna Vineyard - River Stones - Malbec 2017,Catena Zapata (Ediciones limitadas),12420,2020-10-01
Adrianna Vineyard - Fortuna Terrae Malbec 2017,Catena Zapata (Ediciones limitadas),10800,2020-10-01
Adrianna Vineyard - White Bones - Chardonnay 2018,Catena Zapata (Ediciones limitadas),10800,2020-10-01
Adrianna Vineyard - White Stones - Chardonnay 2018,Catena Zapata (Ediciones limitadas),9360,2020-10-01
Don Malbec,Escorihuela Gascón,3570,2020-10-01
Miguel Escorihuela Gascon Malbec,Escorihuela Gascón,2240,2020-10-01
The President Blend,Escorihuela Gascón,1610,2020-10-01
Pequeñas Producciones Malbec,Escorihuela Gascón,1260,2020-10-01
Pequeñas Producciones Cabernet Sauvignon,Escorihuela Gascón,1260,2020-10-01
Pequeñas Producciones Syrah,Escorihuela Gascón,1260,2020-10-01
Pequeñas Producciones Pinot Noir,Escorihuela Gascón,1260,2020-10-01
Pequeñas Producciones Chardonnay,Escorihuela Gascón,1260,2020-10-01
Rutini Rose de Malbec,La Rural,2337,2020-10-01
Coleccion Rutini Malbec x 375 ml.,La Rural,952,2020-10-01
Colección Rutini Cabernet Sauvignon - Malbec x 375 ml.,La Rural,560,2020-10-01
Trumpeter Malbec x 375 ml.,La Rural,312,2020-10-01
Luigi Bosca Icono 2009,Luigi Bosca,10875,2020-10-01
Luigi Bosca Icono 2011,Luigi Bosca,9375,2020-10-01
Luigi Bosca Icono 2015,Luigi Bosca,6375,2020-10-01
Finca Los Nobles Cabernet Bouchet,Luigi Bosca,2550,2020-10-01
Finca Los Nobles Malbec Verdot,Luigi Bosca,2550,2020-10-01
Finca Los Nobles Chardonnay,Luigi Bosca,1275,2020-10-01
Luigi Bosca Malbec x 375 ml.,Luigi Bosca,525,2020-10-01
Finca La Linda Malbec x 375 ml.,Luigi Bosca,300,2020-10-01
Alta Vista Premium Malbec x 375 ml.,Alta Vista,275,2020-10-01
Nieto Senetiner Brut Nature x 375,Bodega Nieto Senetiner,259,2020-10-01
Nieto Senetiner Brut Nature x 187,Bodega Nieto Senetiner,145,2020-10-01
PLC - Malbec 1914,Proyecto Las Compuertas,1476,2020-10-01
PLC - Cabernet Franc,Proyecto Las Compuertas,936,2020-10-01
Casarena DNA Malbec,Casarena,1540,2020-10-01
Cruzat Larrain Milesimee 2006,Bodega Cruzat Larrain,2030,2020-10-01
RJ Distinto,Bodega Joffre e Hijas,1625,2020-10-01
RJ Malbec,Bodega Joffre e Hijas,1495,2020-10-01
Sophenia Roberto L,Finca Sophenia,1960,2020-10-01
Rosell Boher Grand Cuvee 70 meses sobre Lías,Bodega Rosell Boher,4653,2020-10-01
Casa Boher Gran Corte,Bodega Rosell Boher,2070,2020-10-01
Doña Paula Estate Malbec x 375 ml.,Doña Paula,276,2020-10-01
Andeluna Blanc de Franc Rose,Bodega Andeluna,1200,2020-10-01
Amalaya Malbec x 375 ml.,Colomé / Amalaya,189,2020-10-01
Altimus,El Esteco,2052,2020-10-01
Chañar Punco,El Esteco,1750,2020-10-01
Laborum de Parcela Malbec Los Cuises,El Porvenir,1190,2020-10-01
Laborum de Parcela Chardonnay Los Cuises,El Porvenir,1190,2020-10-01
Laborum de Parcela Malbec Rio Seco,El Porvenir,1190,2020-10-01
Laborum de Parcela Tannat Rio Seco,El Porvenir,1190,2020-10-01
Laborum de Parcela Torrontes Finca El Retiro,El Porvenir,1190,2020-10-01
Yacuil Malbec 2015,Yacuil (Yacochuya + Tacuil),4587,2020-10-01
Noemia Malbec 2017,Noemía,10000,2020-10-01
Noemía 2018,Noemía,8720,2020-10-01
