vino,bodega,precio,fecha
Mariflor Camille,Rolland Wine Collection,11173,2020-12-01
Mariflor Arthur & Theo,Rolland Wine Collection,11173,2020-12-01
Mariflor Raphael,Rolland Wine Collection,11173,2020-12-01
EL CLA 2013,Cuvelier Los Andes,7724,2020-12-01
Marcelo Pelleriti Grand Cuvee,Marcelo Pelleriti Wines,4400,2020-12-01
Cobos Volturno 2017,Cobos (Hobbs – Marchiori – Barraud),28000,2020-12-01
Marchiori & Barraud Corte,Marchiori & Barraud,3262,2020-12-01
Alto Las Hormigas Malbec x 375 ml.,Alto las Hormigas (Alberto Antonini),277,2020-12-01
Mosquita Muerta Blend de Tintas,Mosquita Muerta Wines,1113,2020-12-01
Sapo de Otro Pozo Blend,Mosquita Muerta Wines,903,2020-12-01
Pispi Blend,Mosquita Muerta Wines,735,2020-12-01
Mendel Malbec Finca Remota,Mendel Wines,3900,2020-12-01
Gauchezco Gran Corte Blend,Gauchezco Wines,2240,2020-12-01
Varúa Cabernet Sauvignon 2013,Finca La Anita,2520,2020-12-01
Nico by Luca,Laura Catena Wines – Bodega Luca,5804,2020-12-01
Domaine Nico Pinot Noir - Parcela Le Paradis,Laura Catena Wines – Domaine Nico,16400,2020-12-01
Preciado 2005,Alfredo Roca,3600,2020-12-01
Preciado 2009,Alfredo Roca,3120,2020-12-01
Estancia Uspallata Malbec,Estancia Uspallata,3000,2020-12-01
Estancia Uspallata Pinot Noir,Estancia Uspallata,2400,2020-12-01
Estancia Uspallata Espumante Brut Nature,Estancia Uspallata,1440,2020-12-01
A Merced del Tiempo Malbec - Cabernet Sauvignon,Michelini i Mufatto,3320,2020-12-01
Per Se  Jubileus 2017,Per Se – Bonomi & Del Popolo,18000,2020-12-01
Pachamama Malbec,Matervini,2340,2020-12-01
Lagarde Malbec x 375 ml.,Lagarde,382,2020-12-01
Las Perdices Alae Malbec,Viña Las Perdices,3150,2020-12-01
Las Perdices Espumante Champenoise Brut Nature,Viña Las Perdices,588,2020-12-01
Las Perdices Espumante Champenoise Rosado,Viña Las Perdices,588,2020-12-01
Las Perdices Espumante Champenoise Extra Brut,Viña Las Perdices,525,2020-12-01
Las Perdices Malbec x 375 ml.,Viña Las Perdices,238,2020-12-01
D.V. Catena Adrianna Malbec Tupungato Alto,Catena Zapata,2670,2020-12-01
D.V. Catena Nicasia Malbec Altamira,Catena Zapata,2505,2020-12-01
D.V. Catena La Piramide Cabernet Sauvignon Agrelo,Catena Zapata,2505,2020-12-01
D.V. Catena Espumante Nature,Catena Zapata,1875,2020-12-01
Angelica Zapata Malbec,Catena Zapata,2850,2020-12-01
Angelica Zapata Cabernet Franc,Catena Zapata,1987,2020-12-01
Angelica Zapata Cabernet Sauvignon,Catena Zapata,1552,2020-12-01
Angelica Zapata Merlot,Catena Zapata,1425,2020-12-01
D.V. Catena Cabernet - Cabernet,Catena Zapata,1811,2020-12-01
Angelica Zapata Chardonnay,Catena Zapata,1425,2020-12-01
D.V. Catena Malbec - Malbec,Catena Zapata,1725,2020-12-01
D.V. Catena Pinot Noir - Pinot Noir,Catena Zapata,1462,2020-12-01
D.V. Catena Syrah - Syrah,Catena Zapata,1293,2020-12-01
D.V. Catena Chardonnay - Chardonnay,Catena Zapata,948,2020-12-01
D.V. Catena Cabernet - Malbec,Catena Zapata,945,2020-12-01
Saint Felicien Bonarda,Catena Zapata,1552,2020-12-01
Nicolas Catena Zapata 2016,Catena Zapata (Ediciones limitadas),10246,2020-12-01
Nicolas Catena Zapata 2017,Catena Zapata (Ediciones limitadas),9315,2020-12-01
Catena Zapata Malbec Argentino 2017,Catena Zapata (Ediciones limitadas),9315,2020-12-01
Nicola Catena Bonarda,Catena Zapata (Ediciones limitadas),3411,2020-12-01
Adrianna Vineyard - Fortuna Terrae Malbec 2017,Catena Zapata (Ediciones limitadas),12420,2020-12-01
Adrianna Vineyard - White Bones - Chardonnay 2018,Catena Zapata (Ediciones limitadas),12420,2020-12-01
Adrianna Vineyard - White Stones - Chardonnay 2018,Catena Zapata (Ediciones limitadas),10764,2020-12-01
"D.V. Catena ""Tinto Historico"" - Apelacion Paraje Altamira -",Catena Zapata (Ediciones limitadas),2173,2020-12-01
"D.V. Catena ""Blanco Historico"" - Apelacion Agrelo -",Catena Zapata (Ediciones limitadas),2173,2020-12-01
D.V. Catena Garnacha - Apelacion Lunlunta -,Catena Zapata (Ediciones limitadas),2173,2020-12-01
Don Malbec,Escorihuela Gascón,4060,2020-12-01
Miguel Escorihuela Gascon Malbec,Escorihuela Gascón,2520,2020-12-01
The President Blend,Escorihuela Gascón,1820,2020-12-01
Pequeñas Producciones Malbec,Escorihuela Gascón,1435,2020-12-01
Pequeñas Producciones Cabernet Sauvignon,Escorihuela Gascón,1435,2020-12-01
Pequeñas Producciones Syrah,Escorihuela Gascón,1435,2020-12-01
Pequeñas Producciones Pinot Noir,Escorihuela Gascón,1435,2020-12-01
Pequeñas Producciones Chardonnay,Escorihuela Gascón,1435,2020-12-01
Rutini Rose de Malbec,La Rural,2688,2020-12-01
Coleccion Rutini Malbec x 375 ml.,La Rural,1095,2020-12-01
Colección Rutini Cabernet Sauvignon - Malbec x 375 ml.,La Rural,644,2020-12-01
Trumpeter Malbec x 375 ml.,La Rural,359,2020-12-01
Luigi Bosca Icono 2009,Luigi Bosca,10875,2020-12-01
Luigi Bosca Icono 2011,Luigi Bosca,9375,2020-12-01
Luigi Bosca Icono 2015,Luigi Bosca,6375,2020-12-01
