vino,bodega,precio,fecha
Andeluna Blanc de Franc Rose,Bodega,2135,2022-09-01
Cruzat Milesimee 2014,Bodega,6230,2022-09-01
Montchenot Tinto x 375 ml.,Bodega,938,2022-09-01
Casarena Icono Blend,Bodega,5720,2022-09-01
Casarena DNA Cabernet Sauvignon,Bodega,4862,2022-09-01
D.V. Catena Adrianna Malbec Tupungato Alto,Bodega,5475,2022-09-01
D.V. Catena Nicasia Malbec Altamira,Bodega,5175,2022-09-01
D.V. Catena La Piramide Cabernet Sauvignon Agrelo,Bodega,5175,2022-09-01
D.V. Catena Domingo Vineyard Cabernet Sauvignon Tupungato,Bodega,5175,2022-09-01
D.V. Catena Garnacha - Apelacion Lunlunta -,Bodega,4680,2022-09-01
"D.V. Catena ""Tinto Historico"" - Apelacion Paraje Altamira -",Bodega,4680,2022-09-01
"D.V. Catena Blanco ""Historico"" - Apelacion Agrelo",Bodega,4680,2022-09-01
D.V. Catena Espumante Nature,Bodega,4095,2022-09-01
Angelica Zapata Malbec,Bodega,6225,2022-09-01
Angelica Zapata Cabernet Franc,Bodega,4350,2022-09-01
Angelica Zapata Cabernet Sauvignon,Bodega,3375,2022-09-01
Angelica Zapata Merlot,Bodega,3375,2022-09-01
Angelica Zapata Chardonnay,Bodega,3075,2022-09-01
D.V. Catena Cabernet - Cabernet,Bodega,3900,2022-09-01
D.V. Catena Malbec - Malbec,Bodega,3862,2022-09-01
D.V. Catena Pinot Noir - Pinot Noir,Bodega,3187,2022-09-01
D.V. Catena Syrah - Syrah,Bodega,2700,2022-09-01
D.V. Catena Cabernet - Malbec,Bodega,2250,2022-09-01
D.V. Catena Cabernet - Syrah,Bodega,2250,2022-09-01
D.V. Catena Chardonnay - Chardonnay,Bodega,2175,2022-09-01
Nicolas Catena Zapata 2017,Bodega,20610,2022-09-01
Nicolas Catena Zapata 2018,Bodega,18720,2022-09-01
Catena Zapata Malbec Argentino 2019,Bodega,18720,2022-09-01
Nicola Catena Bonarda,Bodega,11673,2022-09-01
Saint Felicien Rose,Bodega,6804,2022-09-01
Adrianna Vineyard - Mundus Bacillus Terrae - Malbec 2014,Bodega,125550,2022-09-01
Adrianna Vineyard - Mundus Bacillus Terrae - Malbec 2017,Bodega,94230,2022-09-01
Adrianna Vineyard - Mundus Bacillus Terrae - Malbec 2018,Bodega,85680,2022-09-01
Adrianna Vineyard - Mundus Bacillus Terrae - Malbec 2019,Bodega,77940,2022-09-01
Adrianna Vineyard - River Stones - Malbec 2018,Bodega,37350,2022-09-01
Adrianna Vineyard - River Stones - Malbec 2019,Bodega,33930,2022-09-01
Adrianna Vineyard - Fortuna Terrae Malbec 2018,Bodega,29970,2022-09-01
Adrianna Vineyard - Fortuna Terrae Malbec 2019,Bodega,27180,2022-09-01
Adrianna Vineyard - White Bones - Chardonnay 2018,Bodega,35550,2022-09-01
Adrianna Vineyard - White Bones - Chardonnay 2019,Bodega,32310,2022-09-01
Adrianna Vineyard - White Bones - Chardonnay 2020,Bodega,29385,2022-09-01
Adrianna Vineyard - White Stones - Chardonnay 2018,Bodega,28530,2022-09-01
Adrianna Vineyard - White Stones - Chardonnay 2019,Bodega,25920,2022-09-01
Adrianna Vineyard - White Stones - Chardonnay 2020,Bodega,23580,2022-09-01
