vino,bodega,precio,fecha
Andeluna Blanc de Franc Rose,Caja Botell,21,2022-08-01
Cruzat Milesimee 2014,Caja Botell,48,2022-08-01
Montchenot Tinto x 375 ml.,Caja Botell,9,2022-08-01
Rincon Famoso Tinto x 375 ml.,Caja Botell,3,2022-08-01
Casarena Icono Blend,Caja Botell,57,2022-08-01
Casarena DNA Cabernet Sauvignon,Caja Botell,48,2022-08-01
D.V. Catena Adrianna Malbec Tupungato Alto,Caja Botell,54,2022-08-01
D.V. Catena Nicasia Malbec Altamira,Caja Botell,51,2022-08-01
D.V. Catena La Piramide Cabernet Sauvignon Agrelo,Caja Botell,51,2022-08-01
D.V. Catena Domingo Vineyard Cabernet Sauvignon Tupungato,Caja Botell,51,2022-08-01
D.V. Catena Garnacha - Apelacion Lunlunta -,Caja Botell,46,2022-08-01
"D.V. Catena ""Tinto Historico"" - Apelacion Paraje Altamira -",Caja Botell,46,2022-08-01
"D.V. Catena Blanco ""Historico"" - Apelacion Agrelo",Caja Botell,46,2022-08-01
D.V. Catena Espumante Nature,Caja Botell,40,2022-08-01
Angelica Zapata Malbec,Caja Botell,62,2022-08-01
Angelica Zapata Cabernet Franc,Caja Botell,43,2022-08-01
Angelica Zapata Cabernet Sauvignon,Caja Botell,33,2022-08-01
Angelica Zapata Merlot,Caja Botell,33,2022-08-01
Angelica Zapata Chardonnay,Caja Botell,30,2022-08-01
D.V. Catena Cabernet - Cabernet,Caja Botell,39,2022-08-01
D.V. Catena Malbec - Malbec,Caja Botell,38,2022-08-01
D.V. Catena Pinot Noir - Pinot Noir,Caja Botell,31,2022-08-01
D.V. Catena Syrah - Syrah,Caja Botell,27,2022-08-01
D.V. Catena Cabernet - Malbec,Caja Botell,22,2022-08-01
D.V. Catena Cabernet - Syrah,Caja Botell,22,2022-08-01
D.V. Catena Chardonnay - Chardonnay,Caja Botell,21,2022-08-01
Nicolas Catena Zapata 2017,Caja Botell,206,2022-08-01
Nicolas Catena Zapata 2018,Caja Botell,187,2022-08-01
Catena Zapata Malbec Argentino 2019,Caja Botell,187,2022-08-01
Nicola Catena Bonarda,Caja Botell,116,2022-08-01
Saint Felicien Rose,Caja Botell,68,2022-08-01
