vino,bodega,precio,fecha
Mariflor Camille,Rolland Wine Collection,12872,2021-07-01
Mariflor Arthur & Theo,Rolland Wine Collection,12872,2021-07-01
Mariflor Raphael,Rolland Wine Collection,12872,2021-07-01
EL CLA 2013,Cuvelier Los Andes,9035,2021-07-01
Marcelo Pelleriti Grand Cuvee,Marcelo Pelleriti Wines,5280,2021-07-01
Cobos Volturno 2017,Cobos (Hobbs – Marchiori – Barraud),40500,2021-07-01
Marchiori & Barraud Corte,Marchiori & Barraud,4125,2021-07-01
Alto Las Hormigas Malbec x 375 ml.,Alto las Hormigas (Alberto Antonini),315,2021-07-01
Mosquita Muerta Blend de Tintas,Mosquita Muerta Wines,1750,2021-07-01
Sapo de Otro Pozo Blend,Mosquita Muerta Wines,1365,2021-07-01
Pispi Blend,Mosquita Muerta Wines,1106,2021-07-01
"Benmarco ""Sin Limites"" Malbec Gualtallary",Susana Balbo Wines,1204,2021-07-01
"Benmarco ""Sin Limites"" Malbec El Pedernal",Susana Balbo Wines,1204,2021-07-01
Kaiken Mai,Kaiken,3430,2021-07-01
Mendel Malbec Finca Remota,Mendel Wines,5175,2021-07-01
Gauchezco Gran Corte Blend,Gauchezco Wines,3150,2021-07-01
Varúa Blend 2017,Finca La Anita,2870,2021-07-01
Nico by Luca,Laura Catena Wines – Bodega Luca,7732,2021-07-01
Domaine Nico Pinot Noir - Parcela Le Paradis,Laura Catena Wines – Domaine Nico,20204,2021-07-01
Estancia Uspallata Malbec,Estancia Uspallata,3744,2021-07-01
Estancia Uspallata Pinot Noir,Estancia Uspallata,3000,2021-07-01
A Merced del Tiempo Malbec - Cabernet Sauvignon,Michelini i Mufatto,3112,2021-07-01
Per Se  Jubileus Malbec 2018,Per Se – Bonomi & Del Popolo,23400,2021-07-01
Pachamama Malbec,Matervini,3000,2021-07-01
"La Dama del Abrigo Rojo, Nebbiolo",Ver Sacrum,6970,2021-07-01
Socavones Reserva Malbec,"Tierra Camiare, Colonia Caroya, Cordoba",1125,2021-07-01
Socavones Reserva Cabernet - Cabernet,"Tierra Camiare, Colonia Caroya, Cordoba",1125,2021-07-01
Lagarde Malbec x 375 ml.,Lagarde,392,2021-07-01
Zuccardi Piedra Infinita Gravascal Malbec 2016,Familia Zuccardi,25470,2021-07-01
Zuccardi Piedra Infinita Malbec 2016,Familia Zuccardi,20790,2021-07-01
Zuccardi Piedra Infinita Malbec 2017,Familia Zuccardi,14850,2021-07-01
Zuccardi Finca Membrillos 2017,Familia Zuccardi,14850,2021-07-01
Zuccardi Finca Canal Uco Malbec 2017,Familia Zuccardi,13950,2021-07-01
Las Perdices Reserva Don Juan,Viña Las Perdices,1498,2021-07-01
Las Perdices Espumante Champenoise Brut Nature,Viña Las Perdices,829,2021-07-01
Las Perdices Espumante Champenoise Rosado,Viña Las Perdices,829,2021-07-01
Las Perdices Espumante Champenoise Extra Brut,Viña Las Perdices,742,2021-07-01
D.V. Catena Adrianna Malbec Tupungato Alto,Catena Zapata,2937,2021-07-01
D.V. Catena Nicasia Malbec Altamira,Catena Zapata,2755,2021-07-01
D.V. Catena La Piramide Cabernet Sauvignon Agrelo,Catena Zapata,2755,2021-07-01
D.V. Catena Espumante Nature,Catena Zapata,2062,2021-07-01
Angelica Zapata Malbec,Catena Zapata,3135,2021-07-01
Angelica Zapata Cabernet Franc,Catena Zapata,2186,2021-07-01
