vino,bodega,precio,fecha
Lindaflor La Violeta Malbec 2011,Monteviejo,5280,2020-01-01
Mariflor Camille,Rolland Wine Collection,8192,2020-01-01
Mariflor Arthur & Theo,Rolland Wine Collection,8192,2020-01-01
Mariflor Raphael,Rolland Wine Collection,8192,2020-01-01
Marcelo Pelleriti Grand Cuvee,Marcelo Pelleriti Wines,2880,2020-01-01
Cobos Marchiori Malbec 2015,Cobos (Hobbs – Marchiori – Barraud),14688,2020-01-01
Cobos Marchiori Malbec 2016,Cobos (Hobbs – Marchiori – Barraud),13920,2020-01-01
Marchiori & Barraud Corte,Marchiori & Barraud,2700,2020-01-01
Mosquita Muerta Blend de Tintas,Mosquita Muerta Wines,897,2020-01-01
Sapo de Otro Pozo Blend,Mosquita Muerta Wines,686,2020-01-01
Pispi Blend,Mosquita Muerta Wines,601,2020-01-01
Mendel Malbec Finca Remota,Mendel Wines,2700,2020-01-01
Gauchezco Gran Corte Blend,Gauchezco Wines,1540,2020-01-01
Nico by Luca,Laura Catena Wines – Bodega Luca,3960,2020-01-01
Preciado 2005,Alfredo Roca,2512,2020-01-01
Preciado 2009,Alfredo Roca,2115,2020-01-01
Preciado 2012,Alfredo Roca,1627,2020-01-01
Pachamama Malbec,Matervini,1575,2020-01-01
Traslapiedra Malbec x 1000 ml.,Traslapiedra,736,2020-01-01
Estancia Uspallata Malbec,Estancia Uspallata,1600,2020-01-01
Estancia Uspallata Pinot Noir,Estancia Uspallata,1400,2020-01-01
Estancia Uspallata Espumante Brut Nature,Estancia Uspallata,800,2020-01-01
Padma Garnacha Rose,Corazón del Sol,900,2020-01-01
Per Se La Craie 2016,Per Se – Bonomi & Del Popolo,9270,2020-01-01
Per Se  Jubileus 2016,Per Se – Bonomi & Del Popolo,9270,2020-01-01
Lagarde Malbec x 375 ml.,Lagarde,254,2020-01-01
Zuccardi Aluvional Altamira,Familia Zuccardi,3276,2020-01-01
Zuccardi Aluvional Gualtallary,Familia Zuccardi,3276,2020-01-01
Zuccardi Aluvional Los Chacayes,Familia Zuccardi,3276,2020-01-01
Santa Julia Espumante Classic Cuvee x 187,Familia Zuccardi,148,2020-01-01
Las Perdices Malbec x 375 ml.,Viña Las Perdices,164,2020-01-01
D.V. Catena Adrianna Malbec Gualtallary,Catena Zapata,1567,2020-01-01
D.V. Catena Nicasia Malbec Altamira,Catena Zapata,1485,2020-01-01
D.V. Catena La Piramide Cabernet Sauvignon Agrelo,Catena Zapata,1485,2020-01-01
D.V. Catena Espumante Nature,Catena Zapata,1237,2020-01-01
Angelica Zapata Malbec,Catena Zapata,1380,2020-01-01
Angelica Zapata Cabernet Franc,Catena Zapata,1042,2020-01-01
Angelica Zapata Cabernet Sauvignon,Catena Zapata,952,2020-01-01
Angelica Zapata Merlot,Catena Zapata,952,2020-01-01
Angelica Zapata Chardonnay,Catena Zapata,892,2020-01-01
D.V. Catena Cabernet - Cabernet,Catena Zapata,1031,2020-01-01
D.V. Catena Malbec - Malbec,Catena Zapata,825,2020-01-01
D.V. Catena Pinot Noir - Pinot Noir,Catena Zapata,783,2020-01-01
D.V. Catena Syrah - Syrah,Catena Zapata,726,2020-01-01
D.V. Catena Cabernet - Malbec,Catena Zapata,611,2020-01-01
D.V. Catena Chardonnay - Chardonnay,Catena Zapata,590,2020-01-01
Saint Felicien Bonarda,Catena Zapata,907,2020-01-01
Nicolas Catena Zapata 2015,Catena Zapata (Ediciones limitadas),4702,2020-01-01
Nicolas Catena Zapata 2016,Catena Zapata (Ediciones limitadas),4257,2020-01-01
Catena Zapata Malbec Argentino 2017,Catena Zapata (Ediciones limitadas),4257,2020-01-01
Nicola Catena Bonarda,Catena Zapata (Ediciones limitadas),2610,2020-01-01
Adrianna Vineyard - River Stones - Malbec 2013,Catena Zapata (Ediciones limitadas),8928,2020-01-01
Adrianna Vineyard - Fortuna Terrae Malbec 2013,Catena Zapata (Ediciones limitadas),8604,2020-01-01
