vino,bodega,precio,fecha
Mariflor Camille,Rolland Wine Collection,12200,2021-03-01
Mariflor Arthur & Theo,Rolland Wine Collection,12200,2021-03-01
Mariflor Raphael,Rolland Wine Collection,12200,2021-03-01
EL CLA 2013,Cuvelier Los Andes,7724,2021-03-01
Cobos Malbec Marchiori 2017,Cobos (Hobbs – Marchiori – Barraud),49500,2021-03-01
Cobos Volturno 2017,Cobos (Hobbs – Marchiori – Barraud),34650,2021-03-01
Marchiori & Barraud Corte,Marchiori & Barraud,3712,2021-03-01
Alto Las Hormigas Malbec x 375 ml.,Alto las Hormigas (Alberto Antonini),322,2021-03-01
Mosquita Muerta Blend de Tintas,Mosquita Muerta Wines,1386,2021-03-01
Sapo de Otro Pozo Blend,Mosquita Muerta Wines,1015,2021-03-01
Pispi Blend,Mosquita Muerta Wines,840,2021-03-01
Mendel Malbec Finca Remota,Mendel Wines,5175,2021-03-01
Gauchezco Gran Corte Blend,Gauchezco Wines,2660,2021-03-01
Varúa Blend 2017,Finca La Anita,2821,2021-03-01
Nico by Luca,Laura Catena Wines – Bodega Luca,6388,2021-03-01
Domaine Nico Pinot Noir - Parcela Le Paradis,Laura Catena Wines – Domaine Nico,18368,2021-03-01
Estancia Uspallata Malbec,Estancia Uspallata,3000,2021-03-01
Estancia Uspallata Pinot Noir,Estancia Uspallata,2400,2021-03-01
Estancia Uspallata Espumante Brut Nature,Estancia Uspallata,1440,2021-03-01
A Merced del Tiempo Malbec - Cabernet Sauvignon,Michelini i Mufatto,3320,2021-03-01
"GY - malbec , cabernet franc -",Michelini i Mufatto,2120,2021-03-01
Per Se  Jubileus 2017,Per Se – Bonomi & Del Popolo,18000,2021-03-01
Socavones Reserva Malbec,"Tierra Camiare, Colonia Caroya, Cordoba",1050,2021-03-01
Socavones Reserva Cabernet - Cabernet,"Tierra Camiare, Colonia Caroya, Cordoba",1050,2021-03-01
Lagarde Malbec x 375 ml.,Lagarde,382,2021-03-01
Zuccardi Piedra Infinita Malbec 2016,Familia Zuccardi,14450,2021-03-01
Las Perdices Alae Malbec,Viña Las Perdices,3640,2021-03-01
Las Perdices Reserva Don Juan,Viña Las Perdices,1225,2021-03-01
Las Perdices Espumante Champenoise Brut Nature,Viña Las Perdices,679,2021-03-01
Las Perdices Espumante Champenoise Rosado,Viña Las Perdices,679,2021-03-01
Las Perdices Espumante Champenoise Extra Brut,Viña Las Perdices,609,2021-03-01
Las Perdices Malbec x 375 ml.,Viña Las Perdices,273,2021-03-01
D.V. Catena Adrianna Malbec Tupungato Alto,Catena Zapata,2670,2021-03-01
D.V. Catena Nicasia Malbec Altamira,Catena Zapata,2505,2021-03-01
D.V. Catena Espumante Nature,Catena Zapata,1875,2021-03-01
Angelica Zapata Malbec,Catena Zapata,2850,2021-03-01
Angelica Zapata Cabernet Franc,Catena Zapata,1987,2021-03-01
Angelica Zapata Cabernet Sauvignon,Catena Zapata,1552,2021-03-01
Angelica Zapata Merlot,Catena Zapata,1425,2021-03-01
D.V. Catena Cabernet - Cabernet,Catena Zapata,1811,2021-03-01
Angelica Zapata Chardonnay,Catena Zapata,1425,2021-03-01
D.V. Catena Malbec - Malbec,Catena Zapata,1725,2021-03-01
D.V. Catena Pinot Noir - Pinot Noir,Catena Zapata,1462,2021-03-01
D.V. Catena Syrah - Syrah,Catena Zapata,1293,2021-03-01
D.V. Catena Chardonnay - Chardonnay,Catena Zapata,948,2021-03-01
D.V. Catena Cabernet - Malbec,Catena Zapata,945,2021-03-01
Saint Felicien Bonarda,Catena Zapata,1552,2021-03-01
Nicolas Catena Zapata 2016,Catena Zapata (Ediciones limitadas),10246,2021-03-01
Nicolas Catena Zapata 2017,Catena Zapata (Ediciones limitadas),9315,2021-03-01
Catena Zapata Malbec Argentino 2017,Catena Zapata (Ediciones limitadas),9315,2021-03-01
Nicola Catena Bonarda,Catena Zapata (Ediciones limitadas),3411,2021-03-01
Adrianna Vineyard - Fortuna Terrae Malbec 2017,Catena Zapata (Ediciones limitadas),12420,2021-03-01
"D.V. Catena ""Blanco Historico"" - Apelacion Agrelo -",Catena Zapata (Ediciones limitadas),2173,2021-03-01
D.V. Catena Garnacha - Apelacion Lunlunta -,Catena Zapata (Ediciones limitadas),2173,2021-03-01
Don Malbec,Escorihuela Gascón,4340,2021-03-01
Miguel Escorihuela Gascon Malbec,Escorihuela Gascón,2695,2021-03-01
The President Blend,Escorihuela Gascón,1960,2021-03-01
Pequeñas Producciones Syrah,Escorihuela Gascón,1540,2021-03-01
Pequeñas Producciones Pinot Noir,Escorihuela Gascón,1540,2021-03-01
Pequeñas Producciones Chardonnay,Escorihuela Gascón,1540,2021-03-01
Rutini Rose de Malbec,La Rural,2688,2021-03-01
Coleccion Rutini Malbec x 375 ml.,La Rural,1095,2021-03-01
Trumpeter Malbec x 375 ml.,La Rural,359,2021-03-01
