vino,bodega,precio,fecha
Mariflor Camille,Rolland Wine Collection,18296,2022-06-01
Mariflor Arthur & Theo,Rolland Wine Collection,18296,2022-06-01
Mariflor Raphael,Rolland Wine Collection,18296,2022-06-01
Mariflor Giulia,Rolland Wine Collection,18296,2022-06-01
EL CLA 2015,Cuvelier Los Andes,15708,2022-06-01
Marcelo Pelleriti Grand Cuvee,Marcelo Pelleriti Wines,7575,2022-06-01
Cobos Malbec Marchiori 2016,Cobos (Hobbs – Marchiori – Barraud),89100,2022-06-01
Cobos Malbec Marchiori 2018,Cobos (Hobbs – Marchiori – Barraud),81000,2022-06-01
Cobos Volturno 2018,Cobos (Hobbs – Marchiori – Barraud),81000,2022-06-01
Viña Cobos Marchiori Estate Malbec,Cobos (Hobbs – Marchiori – Barraud),18900,2022-06-01
Viña Cobos Marchiori Estate Cabernet Sauvignon,Cobos (Hobbs – Marchiori – Barraud),18900,2022-06-01
Viña Cobos Chañares Estate Malbec,Cobos (Hobbs – Marchiori – Barraud),18900,2022-06-01
Viña Cobos Chañares Estate Cabernet Franc,Cobos (Hobbs – Marchiori – Barraud),18900,2022-06-01
Viña Cobos Zingaretti Estate Malbec,Cobos (Hobbs – Marchiori – Barraud),18900,2022-06-01
Bramare Chañares Vineyard Designated Malbec 2017,Viña Cobos - Cosechas Anteriores,17100,2022-06-01
Bramare Touza Vineyard Designated Malbec 2017,Viña Cobos - Cosechas Anteriores,17100,2022-06-01
Bramare Zingaretti Vineyard Designated Malbec 2017,Viña Cobos - Cosechas Anteriores,17100,2022-06-01
Malcriado Malbec,Mosquita Muerta Wines,7420,2022-06-01
Mosquita Muerta Black Malbec,Mosquita Muerta Wines,2730,2022-06-01
Mosquita Muerta Black Blend de Cabernet,Mosquita Muerta Wines,4830,2022-06-01
Mosquita Muerta Blend de Tintas,Mosquita Muerta Wines,2100,2022-06-01
Mosquita Muerta Blend de Blancas,Mosquita Muerta Wines,2100,2022-06-01
Sapo de Otro Pozo Blend,Mosquita Muerta Wines,1540,2022-06-01
Pispi Blend,Mosquita Muerta Wines,1260,2022-06-01
Susana Balbo Signature Malbec Paraje Altamira,Susana Balbo Wines,8085,2022-06-01
"Benmarco ""Sin Limites"" Malbec Gualtallary",Susana Balbo Wines,2355,2022-06-01
"Benmarco ""Sin Limites"" Malbec El Pedernal",Susana Balbo Wines,2355,2022-06-01
"Benmarco ""Sin Limites"" Malbec Organico Valle de Uco",Susana Balbo Wines,2355,2022-06-01
"Benmarco ""Sin Limites"" Chardonnay",Susana Balbo Wines,2355,2022-06-01
