vino,bodega,precio,fecha
Mariflor Camille,Rolland Wine Collection,11173,2021-02-01
Mariflor Arthur & Theo,Rolland Wine Collection,11173,2021-02-01
Mariflor Raphael,Rolland Wine Collection,11173,2021-02-01
EL CLA 2013,Cuvelier Los Andes,7724,2021-02-01
Cobos Malbec Marchiori 2017,Cobos (Hobbs – Marchiori – Barraud),45000,2021-02-01
Cobos Volturno 2017,Cobos (Hobbs – Marchiori – Barraud),31500,2021-02-01
Marchiori & Barraud Corte,Marchiori & Barraud,3262,2021-02-01
Alto Las Hormigas Malbec x 375 ml.,Alto las Hormigas (Alberto Antonini),322,2021-02-01
Mosquita Muerta Blend de Tintas,Mosquita Muerta Wines,1386,2021-02-01
Sapo de Otro Pozo Blend,Mosquita Muerta Wines,1015,2021-02-01
Pispi Blend,Mosquita Muerta Wines,840,2021-02-01
Mendel Malbec Finca Remota,Mendel Wines,5175,2021-02-01
Gauchezco Gran Corte Blend,Gauchezco Wines,2240,2021-02-01
Varúa Cabernet Sauvignon 2013,Finca La Anita,2520,2021-02-01
Nico by Luca,Laura Catena Wines – Bodega Luca,6388,2021-02-01
Domaine Nico Pinot Noir - Parcela Le Paradis,Laura Catena Wines – Domaine Nico,18368,2021-02-01
Preciado 2005,Alfredo Roca,3600,2021-02-01
Preciado 2009,Alfredo Roca,3120,2021-02-01
Estancia Uspallata Malbec,Estancia Uspallata,3000,2021-02-01
Estancia Uspallata Pinot Noir,Estancia Uspallata,2400,2021-02-01
Estancia Uspallata Espumante Brut Nature,Estancia Uspallata,1440,2021-02-01
A Merced del Tiempo Malbec - Cabernet Sauvignon,Michelini i Mufatto,3320,2021-02-01
Per Se  Jubileus 2017,Per Se – Bonomi & Del Popolo,18000,2021-02-01
Pachamama Malbec,Matervini,2610,2021-02-01
Socavones Reserva Malbec,"Tierra Camiare, Colonia Caroya, Cordoba",1050,2021-02-01
Socavones Reserva Cabernet - Cabernet,"Tierra Camiare, Colonia Caroya, Cordoba",1050,2021-02-01
Lagarde Malbec x 375 ml.,Lagarde,382,2021-02-01
Zuccardi Piedra Infinita Malbec 2016,Familia Zuccardi,14450,2021-02-01
Las Perdices Alae Malbec,Viña Las Perdices,3150,2021-02-01
Las Perdices Espumante Champenoise Brut Nature,Viña Las Perdices,588,2021-02-01
Las Perdices Espumante Champenoise Rosado,Viña Las Perdices,588,2021-02-01
Las Perdices Espumante Champenoise Extra Brut,Viña Las Perdices,525,2021-02-01
Las Perdices Malbec x 375 ml.,Viña Las Perdices,238,2021-02-01
D.V. Catena Adrianna Malbec Tupungato Alto,Catena Zapata,2670,2021-02-01
D.V. Catena Nicasia Malbec Altamira,Catena Zapata,2505,2021-02-01
D.V. Catena La Piramide Cabernet Sauvignon Agrelo,Catena Zapata,2505,2021-02-01
D.V. Catena Espumante Nature,Catena Zapata,1875,2021-02-01
Angelica Zapata Malbec,Catena Zapata,2850,2021-02-01
Angelica Zapata Cabernet Franc,Catena Zapata,1987,2021-02-01
Angelica Zapata Cabernet Sauvignon,Catena Zapata,1552,2021-02-01
Angelica Zapata Merlot,Catena Zapata,1425,2021-02-01
D.V. Catena Cabernet - Cabernet,Catena Zapata,1811,2021-02-01
Angelica Zapata Chardonnay,Catena Zapata,1425,2021-02-01
D.V. Catena Malbec - Malbec,Catena Zapata,1725,2021-02-01
D.V. Catena Pinot Noir - Pinot Noir,Catena Zapata,1462,2021-02-01
D.V. Catena Syrah - Syrah,Catena Zapata,1293,2021-02-01
D.V. Catena Chardonnay - Chardonnay,Catena Zapata,948,2021-02-01
D.V. Catena Cabernet - Malbec,Catena Zapata,945,2021-02-01
Saint Felicien Bonarda,Catena Zapata,1552,2021-02-01
Nicolas Catena Zapata 2016,Catena Zapata (Ediciones limitadas),10246,2021-02-01
Nicolas Catena Zapata 2017,Catena Zapata (Ediciones limitadas),9315,2021-02-01
Catena Zapata Malbec Argentino 2017,Catena Zapata (Ediciones limitadas),9315,2021-02-01
Nicola Catena Bonarda,Catena Zapata (Ediciones limitadas),3411,2021-02-01
Adrianna Vineyard - Fortuna Terrae Malbec 2017,Catena Zapata (Ediciones limitadas),12420,2021-02-01
Adrianna Vineyard - White Bones - Chardonnay 2018,Catena Zapata (Ediciones limitadas),12420,2021-02-01
Adrianna Vineyard - White Stones - Chardonnay 2018,Catena Zapata (Ediciones limitadas),10764,2021-02-01
"D.V. Catena ""Tinto Historico"" - Apelacion Paraje Altamira -",Catena Zapata (Ediciones limitadas),2173,2021-02-01
"D.V. Catena ""Blanco Historico"" - Apelacion Agrelo -",Catena Zapata (Ediciones limitadas),2173,2021-02-01
D.V. Catena Garnacha - Apelacion Lunlunta -,Catena Zapata (Ediciones limitadas),2173,2021-02-01
Don Malbec,Escorihuela Gascón,4060,2021-02-01
Miguel Escorihuela Gascon Malbec,Escorihuela Gascón,2520,2021-02-01
The President Blend,Escorihuela Gascón,1820,2021-02-01
Pequeñas Producciones Malbec,Escorihuela Gascón,1435,2021-02-01
Pequeñas Producciones Cabernet Sauvignon,Escorihuela Gascón,1435,2021-02-01
Pequeñas Producciones Syrah,Escorihuela Gascón,1435,2021-02-01
Pequeñas Producciones Pinot Noir,Escorihuela Gascón,1435,2021-02-01
Pequeñas Producciones Chardonnay,Escorihuela Gascón,1435,2021-02-01
Rutini Rose de Malbec,La Rural,2688,2021-02-01
Coleccion Rutini Malbec x 375 ml.,La Rural,1095,2021-02-01
Colección Rutini Cabernet Sauvignon - Malbec x 375 ml.,La Rural,644,2021-02-01
Trumpeter Malbec x 375 ml.,La Rural,359,2021-02-01
Luigi Bosca Icono 2009,Luigi Bosca,13125,2021-02-01
Luigi Bosca Icono 2011,Luigi Bosca,11250,2021-02-01
Luigi Bosca Icono 2015,Luigi Bosca,7125,2021-02-01
Finca Los Nobles Cabernet Bouchet,Luigi Bosca,2850,2021-02-01
Finca Los Nobles Malbec Verdot,Luigi Bosca,2850,2021-02-01
Finca Los Nobles Chardonnay,Luigi Bosca,1425,2021-02-01
Luigi Bosca Malbec x 375 ml.,Luigi Bosca,577,2021-02-01
Finca La Linda Malbec x 375 ml.,Luigi Bosca,330,2021-02-01
Alta Vista Premium Malbec x 375 ml.,Alta Vista,294,2021-02-01
Nieto Senetiner Brut Nature x 375,Bodega Nieto Senetiner,277,2021-02-01
Nieto Senetiner Brut Nature x 187,Bodega Nieto Senetiner,155,2021-02-01
PLC - Malbec 1914,Proyecto Las Compuertas,1476,2021-02-01
PLC - Cabernet Franc,Proyecto Las Compuertas,936,2021-02-01
Casarena DNA Malbec,Casarena,1540,2021-02-01
Cruzat Milesimee 2014,Bodega Cruzat,2240,2021-02-01
Sophenia Roberto L,Finca Sophenia,2310,2021-02-01
Rosell Boher Grand Cuvee 70 meses sobre Lías,Bodega Rosell Boher,4725,2021-02-01
Casa Boher Gran Corte,Bodega Rosell Boher,2520,2021-02-01
Casa Boher Gran Reserva Blend,Bodega Rosell Boher,1890,2021-02-01
Casa Boher Gran Reserva Chardonnay,Bodega Rosell Boher,1710,2021-02-01
Vicentin Maldito Malbec,Vicentín Family Wines,2135,2021-02-01
Doña Paula Estate Malbec x 375 ml.,Doña Paula,276,2021-02-01
Andeluna Blanc de Franc Rose,Bodega Andeluna,1353,2021-02-01
Andeluna Malbec Rose,Bodega Andeluna,607,2021-02-01
Gran VU Blend,Bodega Salentein,4853,2021-02-01
Amalaya Malbec x 375 ml.,Colomé / Amalaya,231,2021-02-01
Altimus,El Esteco,2542,2021-02-01
Chañar Punco,El Esteco,2167,2021-02-01
Laborum de Parcela Malbec Los Cuises,El Porvenir,1190,2021-02-01
Laborum de Parcela Chardonnay Los Cuises,El Porvenir,1190,2021-02-01
Laborum de Parcela Malbec Rio Seco,El Porvenir,1190,2021-02-01
Laborum de Parcela Tannat Rio Seco,El Porvenir,1190,2021-02-01
