vino,bodega,precio,fecha
Mariflor Camille,Rolland Wine Collection,6100,2019-07-01
Mariflor Arthur & Theo,Rolland Wine Collection,6100,2019-07-01
Mariflor Raphael,Rolland Wine Collection,6100,2019-07-01
EL Cuvelier Los Andes,Cuvelier Los Andes,3780,2019-07-01
Marcelo Pelleriti Grand Cuvee,Marcelo Pelleriti Wines,2480,2019-07-01
"Cobos Malbec, Chañares Vineyard 2014",Cobos (Hobbs – Marchiori – Barraud),32175,2019-07-01
"Cobos Malbec, Chañares Vineyard 2015",Cobos (Hobbs – Marchiori – Barraud),9750,2019-07-01
"Cobos Volturno, Marchiori Vineyard 2013",Cobos (Hobbs – Marchiori – Barraud),33750,2019-07-01
"Cobos Volturno, Marchiori Vineyard 2016",Cobos (Hobbs – Marchiori – Barraud),9375,2019-07-01
"Cobos Malbec, Marchiori Vineyard 2014",Cobos (Hobbs – Marchiori – Barraud),9817,2019-07-01
"Cobos Malbec, Marchiori Vineyard 2015",Cobos (Hobbs – Marchiori – Barraud),8925,2019-07-01
Mosquita Muerta Blend de Tintas,Mosquita Muerta Wines,693,2019-07-01
Sapo de Otro Pozo Blend,Mosquita Muerta Wines,553,2019-07-01
Pispi Blend,Mosquita Muerta Wines,486,2019-07-01
Gauchezco Gran Corte Blend,Gauchezco Wines,1260,2019-07-01
Nico by Luca,Laura Catena Wines,2767,2019-07-01
Pachamama Malbec,Matervini,1575,2019-07-01
Traslapiedra Malbec x 1000 ml.,Traslapiedra,480,2019-07-01
Estancia Uspallata Malbec,Estancia Uspallata,1360,2019-07-01
Estancia Uspallata Pinot Noir,Estancia Uspallata,1200,2019-07-01
Estancia Uspallata Espumante Brut Nature,Estancia Uspallata,784,2019-07-01
Lagarde Malbec x 375 ml.,Lagarde,214,2019-07-01
Zuccardi Finca Membrillos 2016,Familia Zuccardi,3960,2019-07-01
Zuccardi Finca Canal Uco Malbec 2015,Familia Zuccardi,3600,2019-07-01
Zuccardi Piedra Infinita Malbec 2015,Familia Zuccardi,3600,2019-07-01
Zuccardi Aluvional Altamira,Familia Zuccardi,2345,2019-07-01
Zuccardi Aluvional Gualtallary,Familia Zuccardi,2345,2019-07-01
Zuccardi Aluvional Los Chacayes,Familia Zuccardi,2345,2019-07-01
Las Perdices Malbec x 375 ml.,Viña Las Perdices,149,2019-07-01
Nicola Catena Bonarda,Catena Zapata,1476,2019-07-01
D.V. Catena Adrianna Malbec Gualtallary,Catena Zapata,1110,2019-07-01
D.V. Catena Nicasia Malbec Altamira,Catena Zapata,1050,2019-07-01
D.V. Catena La Piramide Cabernet Sauvignon Agrelo,Catena Zapata,1050,2019-07-01
D.V. Catena Espumante Nature,Catena Zapata,922,2019-07-01
Angelica Zapata Malbec,Catena Zapata,952,2019-07-01
Angelica Zapata Cabernet Franc,Catena Zapata,705,2019-07-01
Angelica Zapata Cabernet Sauvignon,Catena Zapata,626,2019-07-01
Angelica Zapata Merlot,Catena Zapata,626,2019-07-01
Angelica Zapata Chardonnay,Catena Zapata,611,2019-07-01
D.V. Catena Cabernet - Cabernet,Catena Zapata,802,2019-07-01
D.V. Catena Malbec - Malbec,Catena Zapata,611,2019-07-01
D.V. Catena Pinot Noir - Pinot Noir,Catena Zapata,600,2019-07-01
D.V. Catena Cabernet - Malbec,Catena Zapata,459,2019-07-01
D.V. Catena Cabernet - Syrah,Catena Zapata,459,2019-07-01
D.V. Catena Chardonnay - Chardonnay,Catena Zapata,442,2019-07-01
Nicolas Catena Zapata 2015,Catena Zapata (Ediciones limitadas),2943,2019-07-01
Catena Zapata Malbec Argentino 2015,Catena Zapata (Ediciones limitadas),2943,2019-07-01
Adrianna Vineyard - White Bones - Chardonnay 2012,Catena Zapata (Ediciones limitadas),5220,2019-07-01
Adrianna Vineyard - White Bones - Chardonnay 2015,Catena Zapata (Ediciones limitadas),3942,2019-07-01
Adrianna Vineyard - White Bones - Chardonnay 2016,Catena Zapata (Ediciones limitadas),3582,2019-07-01
Adrianna Vineyard - Fortuna Terrae Malbec 2013,Catena Zapata (Ediciones limitadas),5607,2019-07-01
Adrianna Vineyard - Fortuna Terrae Malbec 2014,Catena Zapata (Ediciones limitadas),5008,2019-07-01
Adrianna Vineyard - Fortuna Terrae Malbec 2015,Catena Zapata (Ediciones limitadas),4635,2019-07-01
Adrianna Vineyard - River Stones - Malbec 2013,Catena Zapata (Ediciones limitadas),5850,2019-07-01
Adrianna Vineyard - River Stones - Malbec 2014,Catena Zapata (Ediciones limitadas),5310,2019-07-01
Adrianna Vineyard - River Stones - Malbec 2015,Catena Zapata (Ediciones limitadas),4842,2019-07-01
Don Malbec,Escorihuela Gascón,2030,2019-07-01
Pequeñas Producciones Malbec,Escorihuela Gascón,626,2019-07-01
Pequeñas Producciones Cabernet Sauvignon,Escorihuela Gascón,626,2019-07-01
Pequeñas Producciones Cabernet Franc,Escorihuela Gascón,626,2019-07-01
Pequeñas Producciones Syrah,Escorihuela Gascón,626,2019-07-01
Pequeñas Producciones Pinot Noir,Escorihuela Gascón,626,2019-07-01
Pequeñas Producciones Chardonnay,Escorihuela Gascón,626,2019-07-01
Rutini Rose de Malbec,La Rural,1181,2019-07-01
Coleccion Rutini Malbec x 375 ml.,La Rural,419,2019-07-01
Colección Rutini Cabernet - Malbec x 375 ml.,La Rural,293,2019-07-01
Trumpeter Malbec x 375 ml.,La Rural,168,2019-07-01
Luigi Bosca Icono 2008,Luigi Bosca,6375,2019-07-01
Luigi Bosca Icono 2010,Luigi Bosca,3750,2019-07-01
Finca Los Nobles Cabernet Bouchet,Luigi Bosca,1425,2019-07-01
Finca Los Nobles Malbec Verdot,Luigi Bosca,1425,2019-07-01
Finca Los Nobles Chardonnay,Luigi Bosca,712,2019-07-01
Luigi Bosca Boheme Brut Nature,Luigi Bosca,1125,2019-07-01
