vino,bodega,precio,fecha
Mariflor Camille,Rolland Wine Collection,4960,2019-02-01
Mariflor Arthur & Theo,Rolland Wine Collection,4960,2019-02-01
Mariflor Raphael,Rolland Wine Collection,4960,2019-02-01
EL Cuvelier Los Andes,Cuvelier Los Andes,3484,2019-02-01
Pala Corazon Malbec Paraje Altamira,Pala Corazón (Lucas Niven),247,2019-02-01
"Pala Corazon Tinto - cabernet, malbec, barbera -",Pala Corazón (Lucas Niven),247,2019-02-01
Pala Corazon Blanco,Pala Corazón (Lucas Niven),217,2019-02-01
"Cobos Malbec, Chañares Vineyard 2014",Cobos (Hobbs – Marchiori – Barraud),8160,2019-02-01
"Cobos Volturno, Marchiori Vineyard 2013",Cobos (Hobbs – Marchiori – Barraud),7650,2019-02-01
"Cobos Malbec, Marchiori Vineyard 2014",Cobos (Hobbs – Marchiori – Barraud),6800,2019-02-01
Pispi Blend,Mosquita Muerta Wines,347,2019-02-01
Tikal Jubilo,Ernesto Catena,508,2019-02-01
Tikal Amorio,Ernesto Catena,445,2019-02-01
Tikal Patriota,Ernesto Catena,431,2019-02-01
Tikal Natural Bio,Ernesto Catena,423,2019-02-01
Gauchezco Gran Corte Blend,Gauchezco Wines,1260,2019-02-01
Nico by Luca,Laura Catena Wines,2737,2019-02-01
Pachamama Malbec,Matervini,1200,2019-02-01
Zuccardi Finca Canal Uco Malbec 2015,Familia Zuccardi,1813,2019-02-01
Zuccardi Piedra Infinita Malbec 2015,Familia Zuccardi,1813,2019-02-01
Las Perdices Malbec x 375 ml.,Viña Las Perdices,135,2019-02-01
D.V. Catena Adrianna Malbec Gualtallary,Catena Zapata,1050,2019-02-01
D.V. Catena Nicasia Malbec Altamira,Catena Zapata,975,2019-02-01
D.V. Catena La Piramide Cabernet Sauvignon Agrelo,Catena Zapata,975,2019-02-01
D.V. Catena Espumante Nature,Catena Zapata,922,2019-02-01
Nicola Catena Bonarda,Catena Zapata,1113,2019-02-01
Angelica Zapata Cabernet Franc Vineyard Designated,Catena Zapata,1785,2019-02-01
Angelica Zapata Malbec,Catena Zapata,892,2019-02-01
Angelica Zapata Cabernet Franc,Catena Zapata,660,2019-02-01
Angelica Zapata Cabernet Sauvignon,Catena Zapata,585,2019-02-01
Angelica Zapata Merlot,Catena Zapata,585,2019-02-01
