vino,bodega,precio,fecha
Mariflor Camille,Rolland Wine Collection,15681,2022-02-01
Mariflor Arthur & Theo,Rolland Wine Collection,15681,2022-02-01
Mariflor Raphael,Rolland Wine Collection,15681,2022-02-01
Mariflor Giulia,Rolland Wine Collection,15681,2022-02-01
EL CLA 2015,Cuvelier Los Andes,12334,2022-02-01
Marcelo Pelleriti Grand Cuvee,Marcelo Pelleriti Wines,7575,2022-02-01
Cobos Malbec Marchiori 2016,Cobos (Hobbs – Marchiori – Barraud),75600,2022-02-01
Cobos Malbec Marchiori 2018,Cobos (Hobbs – Marchiori – Barraud),63000,2022-02-01
Viña Cobos Marchiori Estate Malbec,Cobos (Hobbs – Marchiori – Barraud),13500,2022-02-01
Viña Cobos Marchiori Estate Cabernet Sauvignon,Cobos (Hobbs – Marchiori – Barraud),13500,2022-02-01
Viña Cobos Chañares Estate Malbec,Cobos (Hobbs – Marchiori – Barraud),13500,2022-02-01
Viña Cobos Chañares Estate Cabernet Franc,Cobos (Hobbs – Marchiori – Barraud),13500,2022-02-01
Viña Cobos Zingaretti Estate Malbec,Cobos (Hobbs – Marchiori – Barraud),13500,2022-02-01
Bramare Chañares Vineyard Designated Malbec 2017,Viña Cobos - Cosechas Anteriores,12000,2022-02-01
Bramare Touza Vineyard Designated Malbec 2017,Viña Cobos - Cosechas Anteriores,12000,2022-02-01
Bramare Zingaretti Vineyard Designated Malbec 2017,Viña Cobos - Cosechas Anteriores,12000,2022-02-01
Marchiori & Barraud Corte,Marchiori & Barraud,5250,2022-02-01
Mosquita Muerta Black Blend de Cabernet,Mosquita Muerta Wines,3710,2022-02-01
Mosquita Muerta Blend de Tintas,Mosquita Muerta Wines,2100,2022-02-01
Mosquita Muerta Blend de Blancas,Mosquita Muerta Wines,2100,2022-02-01
Sapo de Otro Pozo Blend,Mosquita Muerta Wines,1575,2022-02-01
Pispi Blend,Mosquita Muerta Wines,1260,2022-02-01
"Benmarco ""Sin Limites"" Malbec Gualtallary",Susana Balbo Wines,1911,2022-02-01
"Benmarco ""Sin Limites"" Malbec El Pedernal",Susana Balbo Wines,1911,2022-02-01
"Benmarco ""Sin Limites"" Malbec Organico Valle de Uco",Susana Balbo Wines,1911,2022-02-01
Susana Balbo Signature White Blend,Susana Balbo Wines,2450,2022-02-01
Kaiken Mai,Kaiken,5250,2022-02-01
Mendel Finca Remota Blend,Mendel Wines,9750,2022-02-01
Varúa Blend 2017,Finca La Anita,4130,2022-02-01
Nico by Luca,Laura Catena Wines – Bodega Luca,9872,2022-02-01
Estancia Uspallata Malbec,Estancia Uspallata,4800,2022-02-01
Estancia Uspallata Pinot Noir,Estancia Uspallata,3896,2022-02-01
Inseparable Malbec Gualtallary,Per Se – Bonomi & Del Popolo,4400,2022-02-01
"La Dama del Abrigo Rojo, Nebbiolo",Ver Sacrum,7650,2022-02-01
Socavones Reserva Malbec,"Terra Camiare, Colonia Caroya, Cordoba",1575,2022-02-01
Socavones Reserva Cabernet - Cabernet,"Terra Camiare, Colonia Caroya, Cordoba",1575,2022-02-01
Estereo Cabernet Franc,Viña Los Chocos,6800,2022-02-01
Viña Los Chocos Parcela 79 Malbec - Cabernet Franc,Viña Los Chocos,4480,2022-02-01
Viña Los Chocos Parcela 5 Pinot Noir,Viña Los Chocos,4480,2022-02-01
Amalaya Malbec x 375 ml.,Colomé / Amalaya,301,2022-02-01
Altimus,El Esteco,7021,2022-02-01
Chañar Punco,El Esteco,5282,2022-02-01
El Porvenir,El Porvenir,4410,2022-02-01
Laborum de Parcela Malbec Rio Seco,El Porvenir,2450,2022-02-01
Laborum de Parcela Tannat Rio Seco,El Porvenir,2450,2022-02-01
Laborum de Parcela Chardonnay Los Cuises,El Porvenir,2450,2022-02-01
Laborum de Parcela Torrontes Finca El Retiro,El Porvenir,2450,2022-02-01
Pequeñas Fermentaciones Bonarda,El Porvenir,1820,2022-02-01
Pyros Limestone Hill Malbec,Pyros,7875,2022-02-01
"Inculto Malbec ""El Algarrobo"", Cafayate",Michelini,8925,2022-02-01
"Inculto Malbec ""El Abrazo"", Cafayate",Michelini,8925,2022-02-01
"Culto Sauvignon Blanc, Payogasta, Salta",Michelini,8925,2022-02-01
Zuccardi Piedra Infinita Gravascal Malbec 2016,Familia Zuccardi,39600,2022-02-01
Zuccardi Piedra Infinita Malbec 2016,Familia Zuccardi,32760,2022-02-01
Zuccardi Piedra Infinita Supercal Malbec 2017,Familia Zuccardi,37400,2022-02-01
Zuccardi Piedra Infinita Malbec 2017,Familia Zuccardi,23400,2022-02-01
Zuccardi Finca Canal Uco Malbec 2017,Familia Zuccardi,18900,2022-02-01
Zuccardi Fosil Chardonnay 2020,Familia Zuccardi,11250,2022-02-01
Las Perdices Alae Malbec,Viña Las Perdices,5705,2022-02-01
Las Perdices Reserva Don Juan,Viña Las Perdices,2135,2022-02-01
Las Perdices Espumante Champenoise Brut Nature,Viña Las Perdices,1085,2022-02-01
Las Perdices Espumante Champenoise Rosado,Viña Las Perdices,1085,2022-02-01
