vino,bodega,precio,fecha
Mariflor Camille,Rolland Wine Collection,12200,2021-04-01
Mariflor Arthur & Theo,Rolland Wine Collection,12200,2021-04-01
Mariflor Raphael,Rolland Wine Collection,12200,2021-04-01
EL CLA 2013,Cuvelier Los Andes,7724,2021-04-01
Cobos Malbec Marchiori 2017,Cobos (Hobbs – Marchiori – Barraud),49500,2021-04-01
Cobos Volturno 2017,Cobos (Hobbs – Marchiori – Barraud),34650,2021-04-01
Marchiori & Barraud Corte,Marchiori & Barraud,3712,2021-04-01
Alto Las Hormigas Malbec x 375 ml.,Alto las Hormigas (Alberto Antonini),322,2021-04-01
Mosquita Muerta Blend de Tintas,Mosquita Muerta Wines,1386,2021-04-01
Sapo de Otro Pozo Blend,Mosquita Muerta Wines,1015,2021-04-01
Pispi Blend,Mosquita Muerta Wines,840,2021-04-01
Kaiken Mai,Kaiken,3430,2021-04-01
Mendel Malbec Finca Remota,Mendel Wines,5175,2021-04-01
Gauchezco Gran Corte Blend,Gauchezco Wines,2660,2021-04-01
Varúa Blend 2017,Finca La Anita,2821,2021-04-01
Nico by Luca,Laura Catena Wines – Bodega Luca,7028,2021-04-01
Domaine Nico Pinot Noir - Parcela Le Paradis,Laura Catena Wines – Domaine Nico,20204,2021-04-01
Estancia Uspallata Malbec,Estancia Uspallata,3744,2021-04-01
Estancia Uspallata Pinot Noir,Estancia Uspallata,3000,2021-04-01
A Merced del Tiempo Malbec - Cabernet Sauvignon,Michelini i Mufatto,3320,2021-04-01
"GY - malbec , cabernet franc -",Michelini i Mufatto,2120,2021-04-01
Pachamama Malbec,Matervini,3000,2021-04-01
Socavones Reserva Malbec,"Tierra Camiare, Colonia Caroya, Cordoba",1050,2021-04-01
Socavones Reserva Cabernet - Cabernet,"Tierra Camiare, Colonia Caroya, Cordoba",1050,2021-04-01
Lagarde Malbec x 375 ml.,Lagarde,382,2021-04-01
Zuccardi Piedra Infinita Malbec 2016,Familia Zuccardi,14450,2021-04-01
Las Perdices Alae Malbec,Viña Las Perdices,3640,2021-04-01
Las Perdices Reserva Don Juan,Viña Las Perdices,1225,2021-04-01
Las Perdices Espumante Champenoise Brut Nature,Viña Las Perdices,679,2021-04-01
Las Perdices Espumante Champenoise Rosado,Viña Las Perdices,679,2021-04-01
Las Perdices Espumante Champenoise Extra Brut,Viña Las Perdices,609,2021-04-01
Las Perdices Malbec x 375 ml.,Viña Las Perdices,273,2021-04-01
D.V. Catena Adrianna Malbec Tupungato Alto,Catena Zapata,2937,2021-04-01
D.V. Catena Nicasia Malbec Altamira,Catena Zapata,2755,2021-04-01
D.V. Catena La Piramide Cabernet Sauvignon Agrelo,Catena Zapata,2755,2021-04-01
D.V. Catena Espumante Nature,Catena Zapata,2062,2021-04-01
Angelica Zapata Malbec,Catena Zapata,3135,2021-04-01
Angelica Zapata Cabernet Franc,Catena Zapata,2186,2021-04-01
Angelica Zapata Cabernet Sauvignon,Catena Zapata,1707,2021-04-01
Angelica Zapata Merlot,Catena Zapata,1567,2021-04-01
Angelica Zapata Chardonnay,Catena Zapata,1567,2021-04-01
D.V. Catena Cabernet - Cabernet,Catena Zapata,1992,2021-04-01
D.V. Catena Malbec - Malbec,Catena Zapata,1897,2021-04-01
D.V. Catena Pinot Noir - Pinot Noir,Catena Zapata,1608,2021-04-01
D.V. Catena Cabernet - Malbec,Catena Zapata,1034,2021-04-01
Saint Felicien Bonarda,Catena Zapata,1707,2021-04-01
Nicolas Catena Zapata 2016,Catena Zapata (Ediciones limitadas),11271,2021-04-01
Nicolas Catena Zapata 2017,Catena Zapata (Ediciones limitadas),10246,2021-04-01
Catena Zapata Malbec Argentino 2017,Catena Zapata (Ediciones limitadas),10246,2021-04-01
Catena Zapata Malbec Argentino 2018,Catena Zapata (Ediciones limitadas),9306,2021-04-01
Nicola Catena Bonarda,Catena Zapata (Ediciones limitadas),4455,2021-04-01
Adrianna Vineyard - Mundus Bacillus Terrae - Malbec 2011,Catena Zapata (Ediciones limitadas),58063,2021-04-01
Adrianna Vineyard - Mundus Bacillus Terrae - Malbec 2014,Catena Zapata (Ediciones limitadas),43946,2021-04-01
Adrianna Vineyard - Mundus Bacillus Terrae - Malbec 2015,Catena Zapata (Ediciones limitadas),39847,2021-04-01
Adrianna Vineyard - Mundus Bacillus Terrae - Malbec 2016,Catena Zapata (Ediciones limitadas),36318,2021-04-01
Adrianna Vineyard - Mundus Bacillus Terrae - Malbec 2017,Catena Zapata (Ediciones limitadas),33016,2021-04-01
Adrianna Vineyard - Fortuna Terrae Malbec 2017,Catena Zapata (Ediciones limitadas),13662,2021-04-01
Adrianna Vineyard - White Bones - Chardonnay 2018,Catena Zapata (Ediciones limitadas),13662,2021-04-01
Adrianna Vineyard - White Stones - Chardonnay 2018,Catena Zapata (Ediciones limitadas),11840,2021-04-01
"D.V. Catena ""Tinto Historico"" - Apelacion Paraje Altamira -",Catena Zapata (Ediciones limitadas),2391,2021-04-01
"D.V. Catena ""Blanco Historico"" - Apelacion Agrelo -",Catena Zapata (Ediciones limitadas),2391,2021-04-01
Don Malbec,Escorihuela Gascón,4340,2021-04-01
Miguel Escorihuela Gascon Malbec,Escorihuela Gascón,2695,2021-04-01
The President Blend,Escorihuela Gascón,1960,2021-04-01
Pequeñas Producciones Syrah,Escorihuela Gascón,1540,2021-04-01
Pequeñas Producciones Pinot Noir,Escorihuela Gascón,1540,2021-04-01
Pequeñas Producciones Chardonnay,Escorihuela Gascón,1540,2021-04-01
Rutini Rose de Malbec,La Rural,2957,2021-04-01
Coleccion Rutini Malbec x 375 ml.,La Rural,1204,2021-04-01
Colección Rutini Cabernet Sauvignon - Malbec x 375 ml.,La Rural,708,2021-04-01
Trumpeter Malbec x 375 ml.,La Rural,394,2021-04-01
Luigi Bosca Icono 2009,Luigi Bosca,13125,2021-04-01
Luigi Bosca Icono 2011,Luigi Bosca,11250,2021-04-01
Luigi Bosca Icono 2015,Luigi Bosca,7125,2021-04-01
Finca Los Nobles Cabernet Bouchet,Luigi Bosca,2850,2021-04-01
Finca Los Nobles Malbec Verdot,Luigi Bosca,2850,2021-04-01
Finca Los Nobles Chardonnay,Luigi Bosca,1425,2021-04-01
Luigi Bosca Malbec x 375 ml.,Luigi Bosca,577,2021-04-01
Finca La Linda Malbec x 375 ml.,Luigi Bosca,330,2021-04-01
Alta Vista Premium Malbec x 375 ml.,Alta Vista,336,2021-04-01
PLC - Malbec 1914,Proyecto Las Compuertas,1476,2021-04-01
PLC - Cabernet Franc,Proyecto Las Compuertas,936,2021-04-01
Casarena DNA Malbec,Casarena,2079,2021-04-01
