vino,bodega,precio,fecha
Altocedro Desnudos 2010,Karim Mussi Winemaker,2975,2018-09-01
Mariflor Camille,Rolland Wine Collection,4320,2018-09-01
Mariflor Arthur & Theo,Rolland Wine Collection,4320,2018-09-01
Mariflor Raphael,Rolland Wine Collection,4320,2018-09-01
EL Cuvelier Los Andes,Cuvelier Los Andes,2502,2018-09-01
Pala Corazon Malbec Gualtallary,Pala Corazón (Lucas Niven),247,2018-09-01
Pala Corazon Malbec Paraje Altamira,Pala Corazón (Lucas Niven),247,2018-09-01
"Pala Corazon Tinto - cabernet, malbec, barbera -",Pala Corazón (Lucas Niven),247,2018-09-01
Pala Corazon Cabernet Franc,Pala Corazón (Lucas Niven),247,2018-09-01
Pala Corazon Bonarda,Pala Corazón (Lucas Niven),247,2018-09-01
Pala Corazon Blanco,Pala Corazón (Lucas Niven),217,2018-09-01
"Cobos Malbec, Chañares Vineyard 2014",Cobos (Hobbs – Marchiori – Barraud),5780,2018-09-01
"Cobos Volturno, Marchiori Vineyard 2013",Cobos (Hobbs – Marchiori – Barraud),5780,2018-09-01
"Cobos Malbec, Marchiori Vineyard 2014",Cobos (Hobbs – Marchiori – Barraud),4675,2018-09-01
Mosquita Muerta Blend de Tintas,Mosquita Muerta Wines,514,2018-09-01
Mosquita Muerta Blend de Blancas,Mosquita Muerta Wines,259,2018-09-01
Sapo de Otro Pozo Blend,Mosquita Muerta Wines,455,2018-09-01
Pispi Blend,Mosquita Muerta Wines,339,2018-09-01
Tikal Jubilo,Ernesto Catena,476,2018-09-01
Tikal Amorio,Ernesto Catena,423,2018-09-01
Tikal Patriota,Ernesto Catena,398,2018-09-01
Tikal Natural Bio,Ernesto Catena,372,2018-09-01
Gauchezco Gran Corte Blend,Gauchezco Wines,1050,2018-09-01
Nico by Luca,Laura Catena Wines,2167,2018-09-01
Zuccardi Finca Canal Uco Malbec 2015,Familia Zuccardi,1711,2018-09-01
Zuccardi Piedra Infinita Malbec 2014,Familia Zuccardi,1711,2018-09-01
Las Perdices Malbec x 375 ml.,Viña Las Perdices,107,2018-09-01
D.V. Catena Adrianna Malbec Gualtallary,Catena Zapata,963,2018-09-01
D.V. Catena Nicasia Malbec Altamira,Catena Zapata,892,2018-09-01
D.V. Catena La Piramide Cabernet Sauvignon Agrelo,Catena Zapata,892,2018-09-01
D.V. Catena Espumante Nature,Catena Zapata,825,2018-09-01
Nicola Catena Bonarda,Catena Zapata,1012,2018-09-01
Angelica Zapata Cabernet Franc Vineyard Designated,Catena Zapata,1620,2018-09-01
Angelica Zapata Malbec,Catena Zapata,810,2018-09-01
Angelica Zapata Cabernet Franc,Catena Zapata,600,2018-09-01
Angelica Zapata Cabernet Sauvignon,Catena Zapata,532,2018-09-01
Angelica Zapata Merlot,Catena Zapata,532,2018-09-01
Angelica Zapata Chardonnay,Catena Zapata,517,2018-09-01
D.V. Catena Cabernet - Cabernet,Catena Zapata,690,2018-09-01
D.V. Catena Malbec - Malbec,Catena Zapata,513,2018-09-01
D.V. Catena Pinot Noir - Pinot Noir,Catena Zapata,510,2018-09-01
D.V. Catena Cabernet - Malbec,Catena Zapata,393,2018-09-01
D.V. Catena Malbec - Grenache,Catena Zapata,393,2018-09-01
D.V. Catena Cabernet - Syrah,Catena Zapata,390,2018-09-01
D.V. Catena Chardonnay - Chardonnay,Catena Zapata,375,2018-09-01
Saint Felicien Bonarda,Catena Zapata,322,2018-09-01
