vino,bodega,precio,fecha
Lindaflor La Violeta Malbec 2012,Monteviejo,24300,2022-03-01
Mariflor Camille,Rolland Wine Collection,15681,2022-03-01
Mariflor Arthur & Theo,Rolland Wine Collection,15681,2022-03-01
Mariflor Raphael,Rolland Wine Collection,15681,2022-03-01
Mariflor Giulia,Rolland Wine Collection,15681,2022-03-01
EL CLA 2015,Cuvelier Los Andes,12334,2022-03-01
Marcelo Pelleriti Grand Cuvee,Marcelo Pelleriti Wines,7575,2022-03-01
Cobos Malbec Marchiori 2016,Cobos (Hobbs – Marchiori – Barraud),86400,2022-03-01
Cobos Malbec Marchiori 2018,Cobos (Hobbs – Marchiori – Barraud),72000,2022-03-01
Cobos Volturno 2018,Cobos (Hobbs – Marchiori – Barraud),72000,2022-03-01
Viña Cobos Marchiori Estate Malbec,Cobos (Hobbs – Marchiori – Barraud),17100,2022-03-01
Viña Cobos Marchiori Estate Cabernet Sauvignon,Cobos (Hobbs – Marchiori – Barraud),17100,2022-03-01
Viña Cobos Chañares Estate Malbec,Cobos (Hobbs – Marchiori – Barraud),17100,2022-03-01
Viña Cobos Chañares Estate Cabernet Franc,Cobos (Hobbs – Marchiori – Barraud),17100,2022-03-01
Viña Cobos Zingaretti Estate Malbec,Cobos (Hobbs – Marchiori – Barraud),17100,2022-03-01
Bramare Chañares Vineyard Designated Malbec 2017,Viña Cobos - Cosechas Anteriores,17100,2022-03-01
Bramare Touza Vineyard Designated Malbec 2017,Viña Cobos - Cosechas Anteriores,17100,2022-03-01
Bramare Zingaretti Vineyard Designated Malbec 2017,Viña Cobos - Cosechas Anteriores,17100,2022-03-01
Mosquita Muerta Black Blend de Cabernet,Mosquita Muerta Wines,5530,2022-03-01
Mosquita Muerta Blend de Tintas,Mosquita Muerta Wines,2373,2022-03-01
Mosquita Muerta Blend de Blancas,Mosquita Muerta Wines,2373,2022-03-01
Sapo de Otro Pozo Blend,Mosquita Muerta Wines,1764,2022-03-01
Pispi Blend,Mosquita Muerta Wines,1435,2022-03-01
"Benmarco ""Sin Limites"" Malbec Gualtallary",Susana Balbo Wines,1911,2022-03-01
"Benmarco ""Sin Limites"" Malbec El Pedernal",Susana Balbo Wines,1911,2022-03-01
"Benmarco ""Sin Limites"" Malbec Organico Valle de Uco",Susana Balbo Wines,1911,2022-03-01
"Benmarco ""Sin Limites"" Chardonnay",Susana Balbo Wines,1911,2022-03-01
Susana Balbo Signature White Blend,Susana Balbo Wines,2450,2022-03-01
Mendel Finca Remota Blend,Mendel Wines,9750,2022-03-01
Gauchezco Gran Corte Blend,Gauchezco Wines,5040,2022-03-01
Varúa Blend 2017,Finca La Anita,4130,2022-03-01
Nico by Luca,Laura Catena Wines – Bodega Luca,9872,2022-03-01
Estancia Uspallata Malbec,Estancia Uspallata,4800,2022-03-01
Estancia Uspallata Pinot Noir,Estancia Uspallata,3896,2022-03-01
Volare del Camino Malbec 2019,Per Se – Bonomi & Del Popolo,19800,2022-03-01
Inseparable Malbec Gualtallary,Per Se – Bonomi & Del Popolo,4800,2022-03-01
"La Dama del Abrigo Rojo, Nebbiolo",Ver Sacrum,10480,2022-03-01
Socavones Reserva Malbec,"Terra Camiare, Colonia Caroya, Cordoba",1575,2022-03-01
Socavones Reserva Cabernet - Cabernet,"Terra Camiare, Colonia Caroya, Cordoba",1575,2022-03-01
Estereo Cabernet Franc,Viña Los Chocos,7840,2022-03-01
Viña Los Chocos Parcela 79 Malbec - Cabernet Franc,Viña Los Chocos,5120,2022-03-01
Viña Los Chocos Parcela 5 Pinot Noir,Viña Los Chocos,5120,2022-03-01
Amalaya Malbec x 375 ml.,Colomé / Amalaya,301,2022-03-01
Altimus,El Esteco,7021,2022-03-01
Chañar Punco,El Esteco,5282,2022-03-01
Alto Los Cuises Malbec,El Porvenir,7000,2022-03-01
El Porvenir,El Porvenir,4410,2022-03-01
Laborum de Parcela Malbec Rio Seco,El Porvenir,2450,2022-03-01
Laborum de Parcela Tannat Rio Seco,El Porvenir,2450,2022-03-01
Laborum de Parcela Petit Verdot Rio Seco,El Porvenir,2450,2022-03-01
Laborum de Parcela Chardonnay Los Cuises,El Porvenir,2450,2022-03-01
Laborum de Parcela Torrontes Finca El Retiro,El Porvenir,2450,2022-03-01
Pyros Limestone Hill Malbec,Pyros,7875,2022-03-01
"Inculto Malbec ""El Algarrobo"", Cafayate","Inculto, Valles Calchaquies - Pancho Lavaque & Matias Michelini",9775,2022-03-01
"Inculto Malbec ""El Abrazo"", Cafayate","Inculto, Valles Calchaquies - Pancho Lavaque & Matias Michelini",9775,2022-03-01
"Culto Sauvignon Blanc, Payogasta, Salta","Inculto, Valles Calchaquies - Pancho Lavaque & Matias Michelini",9775,2022-03-01
Zuccardi Piedra Infinita Gravascal Malbec 2016,Familia Zuccardi,39600,2022-03-01
Zuccardi Piedra Infinita Malbec 2016,Familia Zuccardi,32760,2022-03-01
Zuccardi Piedra Infinita Supercal Malbec 2017,Familia Zuccardi,37400,2022-03-01
Zuccardi Piedra Infinita Malbec 2017,Familia Zuccardi,23400,2022-03-01
Zuccardi Finca Canal Uco Malbec 2017,Familia Zuccardi,18900,2022-03-01
Zuccardi Fosil Chardonnay 2020,Familia Zuccardi,11250,2022-03-01
Las Perdices Alae Malbec,Viña Las Perdices,6405,2022-03-01
Las Perdices Reserva Don Juan,Viña Las Perdices,2415,2022-03-01
Las Perdices Exploracion Gewurztraminer,Viña Las Perdices,2380,2022-03-01
Las Perdices Espumante Champenoise Brut Nature,Viña Las Perdices,1225,2022-03-01
Las Perdices Espumante Champenoise Rosado,Viña Las Perdices,1225,2022-03-01
Las Perdices Espumante Champenoise Extra Brut,Viña Las Perdices,1120,2022-03-01
Las Perdices Viognier Cosecha Tardia x 500 ml.,Viña Las Perdices,1120,2022-03-01
D.V. Catena Adrianna Malbec Tupungato Alto,Catena Zapata,4447,2022-03-01
D.V. Catena Nicasia Malbec Altamira,Catena Zapata,4132,2022-03-01
D.V. Catena La Piramide Cabernet Sauvignon Agrelo,Catena Zapata,4132,2022-03-01
D.V. Catena Espumante Nature,Catena Zapata,3120,2022-03-01
Angelica Zapata Malbec,Catena Zapata,4642,2022-03-01
Angelica Zapata Cabernet Franc,Catena Zapata,3277,2022-03-01
Angelica Zapata Cabernet Sauvignon,Catena Zapata,2572,2022-03-01
Angelica Zapata Merlot,Catena Zapata,2572,2022-03-01
Angelica Zapata Chardonnay,Catena Zapata,2340,2022-03-01
D.V. Catena Cabernet - Cabernet,Catena Zapata,2962,2022-03-01
D.V. Catena Malbec - Malbec,Catena Zapata,2887,2022-03-01
D.V. Catena Pinot Noir - Pinot Noir,Catena Zapata,2418,2022-03-01
D.V. Catena Syrah - Syrah,Catena Zapata,2070,2022-03-01
D.V. Catena Cabernet - Malbec,Catena Zapata,1597,2022-03-01
D.V. Catena Cabernet - Syrah,Catena Zapata,1597,2022-03-01
D.V. Catena Chardonnay - Chardonnay,Catena Zapata,1552,2022-03-01
Nicolas Catena Zapata 2017,Catena Zapata (Ediciones limitadas),16848,2022-03-01
Nicolas Catena Zapata 2018,Catena Zapata (Ediciones limitadas),15444,2022-03-01
Catena Zapata Malbec Argentino 2019,Catena Zapata (Ediciones limitadas),14040,2022-03-01
Nicola Catena Bonarda,Catena Zapata (Ediciones limitadas),7128,2022-03-01
